authorityCode,authorityName,countyID,authorityType,authorityTitle,authorityID
180078,SWITZERLAND,,C,COUNTY,
180079,TIPPECANOE,,C,COUNTY,
180080,TIPTON,,C,COUNTY,
180081,UNION,,C,COUNTY,
180082,VANDERBURGH,,C,COUNTY,
180083,VERMILLION,,C,COUNTY,
180085,WABASH,,C,COUNTY,
180086,WARREN,,C,COUNTY,
180087,WARRICK,,C,COUNTY,
180088,WASHINGTON,,C,COUNTY,
180089,WAYNE,,C,COUNTY,
180090,WELLS,,C,COUNTY,
180091,WHITE,,C,COUNTY,
180092,WHITLEY,,C,COUNTY,
180093,CLARK,,C,COUNTY,
180094,PORTER,,C,COUNTY,
180095,VIGO,,C,COUNTY,
180096,JEFFERSON,,C,COUNTY,
180097,POSEY,,C,COUNTY,
180098,SULLIVAN,,C,COUNTY,
180099,LAKE,,C,COUNTY,
190000,IOWA,,B,STATE,
200000,KANSAS,,B,STATE,
210000,KENTUCKY,,B,STATE,
210001,ALLEN,,C,COUNTY,
210002,BOONE,,C,COUNTY,
210003,BOYLE,,C,COUNTY,
210004,BUTLER,,C,COUNTY,
210005,CAMPBELL,,C,COUNTY,
210006,CARROLL,,C,COUNTY,
210007,CLARK,,C,COUNTY,
210008,CUMBERLAND,,C,COUNTY,
210009,LEXINGTON-FAYETTE URBAN COUNTY,FAYETTE,D,CITY,
210010,FRANKLIN,,C,COUNTY,
210011,GARRARD,,C,COUNTY,
210012,HANCOCK,,C,COUNTY,
210013,METRO LOUISVILLE/JEFFERSON,,C,COUNTY,
210014,JESSAMINE,,C,COUNTY,
210015,KENTON,,C,COUNTY,
210017,MADISON,,C,COUNTY,
210018,MARION,,C,COUNTY,
210019,MARSHALL,,C,COUNTY,
210020,MCCRACKEN,,C,COUNTY,
210021,MONROE,,C,COUNTY,
210022,MONTGOMERY,,C,COUNTY,
210023,NELSON,,C,COUNTY,
210024,NICHOLAS,,C,COUNTY,
210025,POWELL,,C,COUNTY,
210026,PULASKI,,C,COUNTY,
210027,ROWAN,,C,COUNTY,
210028,SCOTT,,C,COUNTY,
210029,SHELBY,,C,COUNTY,
210030,WARREN,,C,COUNTY,
210031,WOODFORD,,C,COUNTY,
210032,ESTILL,,C,COUNTY,
210033,MERCER,,C,COUNTY,
210034,GRAVES,,C,COUNTY,
210035,BOURBON,,C,COUNTY,
210036,CLINTON,,C,COUNTY,
210037,HARRISON,,C,COUNTY,
210038,HART,,C,COUNTY,
210040,METCALFE,,C,COUNTY,
210041,OHIO,,C,COUNTY,
210042,RUSSELL,,C,COUNTY,
210043,BALLARD,,C,COUNTY,
210044,LAUREL,,C,COUNTY,
210045,BREATHITT,,C,COUNTY,
210046,GRAYSON,,C,COUNTY,
210047,WASHINGTON,,C,COUNTY,
210048,BEATTYVILLE,LEE,D,CITY,
210049,CASEY,,C,COUNTY,
210050,TAYLOR,,C,COUNTY,
210051,KNOX,,C,COUNTY,
210201,ADAIRVILLE,LOGAN,D,CITY,
210202,AUBURN,LOGAN,D,CITY,
210203,AUGUSTA,BRACKEN,D,CITY,
210204,BELLEVUE,CAMPBELL,D,CITY,
210205,BENTON,MARSHALL,D,CITY,
210206,BEREA,MADISON,D,CITY,
210207,BOWLING GREEN,WARREN,D,CITY,
210208,BROWNSVILLE,EDMONSON,D,CITY,
210209,BURKESVILLE,CUMBERLAND,D,CITY,
210210,CADIZ,TRIGG,D,CITY,
210211,CATLETTSBURG,BOYD,D,CITY,
210212,CAVE CITY,BARREN,D,CITY,
210213,COVINGTON,KENTON,D,CITY,
210214,CRESCENT SPRINGS,KENTON,D,CITY,
210215,CRESTVIEW HILLS,KENTON,D,CITY,
210216,CYNTHIANA,HARRISON,D,CITY,
210217,DANVILLE,BOYLE,D,CITY,
210218,DAWSON SPRINGS,HOPKINS,D,CITY,
210219,DAYTON,CAMPBELL,D,CITY,
210220,EDGEWOOD,KENTON,D,CITY,
210221,EDMONTON,METCALFE,D,CITY,
210222,ELIZABETHTOWN,HARDIN,D,CITY,
210223,ELKTON,TODD,D,CITY,
210224,ELSMERE,KENTON,D,CITY,
210225,FLEMINGSBURG,FLEMING,D,CITY,
210226,FLORENCE,BOONE,D,CITY,
210227,FORT MITCHELL,KENTON,D,CITY,
210228,FORT THOMAS,CAMPBELL,D,CITY,
210229,FORT WRIGHT,KENTON,D,CITY,
210230,FRANKFORT,FRANKLIN,D,CITY,
210231,FRANKLIN,SIMPSON,D,CITY,
210232,FULTON,FULTON,D,CITY,
210233,GAMALIEL,MONROE,D,CITY,
210234,GEORGETOWN,SCOTT,D,CITY,
210235,GLASGOW,BARREN,D,CITY,
210236,HARRODSBURG,MERCER,D,CITY,
210237,HAZARD,PERRY,D,CITY,
210238,HICKMAN,FULTON,D,CITY,
210239,HOPKINSVILLE,CHRISTIAN,D,CITY,
210240,INDEPENDENCE,KENTON,D,CITY,
210241,JACKSON,BREATHITT,D,CITY,
210242,JAMESTOWN,RUSSELL,D,CITY,
210243,JEFFERSONTOWN,JEFFERSON,D,CITY,
210244,LEBANON,MARION,D,CITY,
210245,LEITCHFIELD,GRAYSON,D,CITY,
210246,LEWISBURG,LOGAN,D,CITY,
210247,LOUISVILLE,JEFFERSON,D,CITY,
210248,LUDLOW,KENTON,D,CITY,
210249,MADISONVILLE,HOPKINS,D,CITY,
210250,MARION,CRITTENDEN,D,CITY,
210251,MAYFIELD,GRAVES,D,CITY,
210252,MAYSVILLE,MASON,D,CITY,
210253,MIDDLESBORO,BELL,D,CITY,
210254,MIDWAY,WOODFORD,D,CITY,
210255,MOREHEAD-ROWAN,ROWAN,D,CITY,
210256,MORGANTOWN,BUTLER,D,CITY,
210257,MT. STERLING,MONTGOMERY,D,CITY,
210258,NEWPORT,CAMPBELL,D,CITY,
210259,NICHOLASVILLE,JESSAMINE,D,CITY,
210260,OWENSBORO,DAVIESS,D,CITY,
210261,PADUCAH,MCCRACKEN,D,CITY,
210262,PAINTSVILLE,JOHNSON,D,CITY,
210263,PARIS,BOURBON,D,CITY,
210264,PARK HILLS,KENTON,D,CITY,
210265,PIKEVILLE,PIKE,D,CITY,
210266,PINEVILLE,BELL,D,CITY,
210267,PRESTONSBURG,FLOYD,D,CITY,
210268,PRINCETON,CALDWELL,D,CITY,
210269,RADCLIFF,HARDIN,D,CITY,
210270,RICHMOND,MADISON,D,CITY,
210271,RUSSELL SPRINGS,RUSSELL,D,CITY,
210272,RUSSELLVILLE,LOGAN,D,CITY,
210273,ST. MATTHEWS,JEFFERSON,D,CITY,
210274,SCOTTSVILLE,ALLEN,D,CITY,
210275,SHELBYVILLE,SHELBY,D,CITY,
210276,SHIVELY,JEFFERSON,D,CITY,
210277,SOUTHGATE,CAMPBELL,D,CITY,
210278,SPRINGFIELD,WASHINGTON,D,CITY,
210279,STANTON,POWELL,D,CITY,
210280,VANCEBURG-LEWIS,LEWIS,D,CITY,
210281,VERSAILLES,WOODFORD,D,CITY,
210282,WARSAW,GALLATIN,D,CITY,
210283,WEST BUECHEL,JEFFERSON,D,CITY,
210284,WILDER,CAMPBELL,D,CITY,
210285,WILMORE,JESSAMINE,D,CITY,
210286,WINCHESTER,CLARK,D,CITY,
210287,CALVERT,MARSHALL,D,CITY,
210289,ERLANGER,KENTON,D,CITY,
210290,TAYLOR MILL,KENTON,D,CITY,
210291,EMINENCE,HENRY,D,CITY,
210292,CLAY,,C,COUNTY,
210293,SILVER GROVE,CAMPBELL,D,CITY,
210294,OAK GROVE,CHRISTIAN,D,CITY,
210295,COLD SPRING,CAMPBELL,D,CITY,
210296,OWENTON,OWEN,D,CITY,
210297,CARLISLE,NICHOLAS,D,CITY,
210298,CALDWELL,,C,COUNTY,
210299,BROOKSVILLE,BRACKEN,D,CITY,
210300,SHEPHERDSVILLE,BULLITT,D,CITY,
210301,LAKESIDE PARK,KENTON,D,CITY,
210302,VILLA HILLS,KENTON,D,CITY,
210303,WOLFE,,C,COUNTY,
210304,ELKHORN CITY,PIKE,D,CITY,
210305,SALYERSVILLE,MAGOFFIN,D,CITY,
210306,LEBANON JUNCTION,BULLITT,D,CITY,
210307,ALEXANDRIA,CAMPBELL,D,CITY,
210308,JOHNSON,,C,COUNTY,
210309,HILLVIEW,BULLITT,D,CITY,
210310,BROMLEY,KENTON,D,CITY,
210311,STANFORD,LINCOLN,D,CITY,
210312,PARK CITY,BARREN,D,CITY,
210313,MULDRAUGH,MEADE,D,CITY,
210314,EDDYVILLE,LYON,D,CITY,
210315,ASHLAND,BOYD,D,CITY,
210316,LINCOLN,,C,COUNTY,
210317,HIGHLAND HEIGHTS,CAMPBELL,D,CITY,
210318,CAMARGO,MONTGOMERY,D,CITY,
210319,HODGENVILLE,LARUE,D,CITY,
210320,JEFFERSONVILLE,MONTGOMERY,D,CITY,
210321,MT. WASHINGTON,BULLITT,D,CITY,
210322,LIVINGSTON,,C,COUNTY,
210323,MOUNT VERNON,ROCKCASTLE,D,CITY,
210324,DRY RIDGE,GRANT,D,CITY,
210325,MCLEAN,,C,COUNTY,
210326,RUSSELL,GREENUP,D,CITY,
210327,CLINTON,HICKMAN,D,CITY,
210328,GREENSBURG,GREEN,D,CITY,
210329,GUTHRIE,TODD,D,CITY,
210330,MARTIN,FLOYD,D,CITY,
210331,TODD,,C,COUNTY,
210332,SIMPSON,,C,COUNTY,
210333,WAYNE,,C,COUNTY,
210334,CLARKSON,GRAYSON,D,CITY,
210336,MARTIN,,C,COUNTY,
210337,BOYD,,C,COUNTY,
210338,LOGAN,,C,COUNTY,
210339,MENIFEE,,C,COUNTY,
210340,CLAY,POWELL,D,CITY,
210341,MILLERSBURG,BOURBON,D,CITY,
210342,BARDSTOWN,NELSON,D,CITY,
210343,BARBOURVILLE,KNOX,D,CITY,
210344,JUNCTION CITY,BOYLE,D,CITY,
210345,MAGOFFIN,,C,COUNTY,
210346,MCCREARY,,C,COUNTY,
210347,GALLATIN,,C,COUNTY,
210348,UNION,,C,COUNTY,
210349,FAYETTE,,C,COUNTY,
210350,DAVIESS,,C,COUNTY,
210351,WHITLEY,,C,COUNTY,
210352,JACKSON,,C,COUNTY,
210353,MOUNT OLIVET,ROBERTSON,D,CITY,
210354,ROBERTSON,,C,COUNTY,
210355,TOMPKINSVILLE,MONROE,D,CITY,
210356,HENDERSON,HENDERSON,D,CITY,
210357,PENDLETON,,C,COUNTY,
210358,BATH,,C,COUNTY,
210359,WEST POINT,HARDIN,D,CITY,
210360,PIONEER VILLAGE,BULLITT,D,CITY,
210361,HORSE CAVE,HART,D,CITY,
210362,MCKEE,JACKSON,D,CITY,
210363,HICKMAN,,C,COUNTY,
210364,WEST LIBERTY,MORGAN,D,CITY,
210365,LESLIE,,C,COUNTY,
210366,SPENCER,,C,COUNTY,
210367,GRAYSON,CARTER,D,CITY,
210368,MORGAN,,C,COUNTY,
210369,TAYLORSVILLE,SPENCER,D,CITY,
210370,WHEELWRIGHT,FLOYD,D,CITY,
210371,MUNFORDVILLE,HART,D,CITY,
210372,ROCKCASTLE,,C,COUNTY,
210373,CAMPBELLSVILLE,TAYLOR,D,CITY,
210374,COAL RUN VILLAGE,PIKE,D,CITY,
210375,PERRYVILLE,BOYLE,D,CITY,
210376,RACELAND,GREENUP,D,CITY,
210377,FOUNTAIN RUN,MONROE,D,CITY,
210378,NORTONVILLE,HOPKINS,D,CITY,
210379,BARDWELL,CARLISLE,D,CITY,
210380,VINE GROVE,HARDIN,D,CITY,
210381,CANEYVILLE,GRAYSON,D,CITY,
210382,GREENUP,GREENUP,D,CITY,
210383,CRITTENDEN,,C,COUNTY,
210384,JENKINS,LETCHER,D,CITY,
210385,EARLINGTON,HOPKINS,D,CITY,
210386,LA GRANGE,OLDHAM,D,CITY,
210387,HARTFORD,OHIO,D,CITY,
210388,WHITESBURG,LETCHER,D,CITY,
210389,OLIVE HILL,CARTER,D,CITY,
210390,WURTLAND,GREENUP,D,CITY,
210391,COLUMBIA,ADAIR,D,CITY,
210392,RYLAND HEIGHTS,KENTON,D,CITY,
210393,SOMERSET,PULASKI,D,CITY,
210394,PULASKI-SOMERSET,,C,COUNTY,
210395,PIKE,,C,COUNTY,
210396,HOPKINS,,C,COUNTY,
210397,HENDERSON,,C,COUNTY,
210398,SIMPSONVILLE,SHELBY,D,CITY,
210399,CORBIN,KNOX,D,CITY,
210400,PERRY,,C,COUNTY,
210401,GRANT,,C,COUNTY,
210402,LANCASTER,GARRARD,D,CITY,
210403,BRODHEAD,ROCKCASTLE,D,CITY,
210404,MURRAY,CALLOWAY,D,CITY,
210405,WHITLEY-CORBIN,WHITLEY,D,CITY,
210406,WHITLEY-WILLIAMSBURG,WHITLEY,D,CITY,
210407,CRAB ORCHARD,LINCOLN,D,CITY,
210408,SMITHS GROVE,WARREN,D,CITY,
210409,CARTER,,C,COUNTY,
210410,MOREHEAD-CARTER,CARTER,D,CITY,
210411,VANCEBURG-CARTER,CARTER,D,CITY,
210412,BOONE COUNTY TIF DISTRICT,,D,TOWNSHIP,
210413,ELLIOTT,,C,COUNTY,
220000,LOUISIANA,,B,STATE,
230000,MAINE,,B,STATE,
240000,MARYLAND,,B,STATE,
240001,CALVERT,,C,COUNTY,
240002,WORCESTER,,C,COUNTY,
240003,TALBOT,,C,COUNTY,
240004,QUEEN ANNES,,C,COUNTY,
240005,ALLEGANY,,C,COUNTY,
240006,ANNE ARUNDEL,,C,COUNTY,
240007,BALTIMORE,,C,COUNTY,
240008,CAROLINE,,C,COUNTY,
240009,CARROLL,,C,COUNTY,
240010,CECIL,,C,COUNTY,
240011,CHARLES,,C,COUNTY,
240012,DORCHESTER,,C,COUNTY,
240013,FREDERICK,,C,COUNTY,
240014,GARRETT,,C,COUNTY,
240015,HARFORD,,C,COUNTY,
240016,HOWARD,,C,COUNTY,
240017,KENT,,C,COUNTY,
240018,MONTGOMERY,,C,COUNTY,
240019,PRINCE GEORGES,,C,COUNTY,
240020,SAINT MARYS,,C,COUNTY,
240021,SOMERSET,,C,COUNTY,
240022,WASHINGTON,,C,COUNTY,
240023,WICOMICO,,C,COUNTY,
240101,BALTIMORE,BALTIMORE CITY,D,CITY,
248888,UNKNOWN LOCAL,,C,COUNTY,
250000,MASSACHUSETTS,,B,STATE,
260000,MICHIGAN,,B,STATE,
260001,ALBION,CALHOUN,D,CITY,
260002,BATTLE CREEK,CALHOUN,D,CITY,
260003,BIG RAPIDS,MECOSTA,D,CITY,
260004,DETROIT,WAYNE,D,CITY,
260005,FLINT,GENESEE,D,CITY,
260006,GRAND RAPIDS,KENT,D,CITY,
260007,GRAYLING,CRAWFORD,D,CITY,
260008,HAMTRAMCK,WAYNE,D,CITY,
260009,HIGHLAND PARK,WAYNE,D,CITY,
260010,HUDSON,LENAWEE,D,CITY,
260011,JACKSON,JACKSON,D,CITY,
260012,LANSING,INGHAM,D,CITY,
260013,LAPEER,LAPEER,D,CITY,
260014,MUSKEGON HEIGHTS,MUSKEGON,D,CITY,
260015,PONTIAC,OAKLAND,D,CITY,
260016,PORT HURON,SAINT CLAIR,D,CITY,
260017,PORTLAND,IONIA,D,CITY,
260018,SAGINAW,SAGINAW,D,CITY,
260019,SPRINGFIELD,CALHOUN,D,CITY,
260020,WALKER,KENT,D,CITY,
260021,MUSKEGON,MUSKEGON,D,CITY,
260022,IONIA,IONIA,D,CITY,
260023,BENTON HARBOR,BERRIEN,D,CITY,
260024,EAST LANSING INGHAM-CLINTON,INGHAM,D,CITY,
270000,MINNESOTA,,B,STATE,
280000,MISSISSIPPI,,B,STATE,
290000,MISSOURI,,B,STATE,
290001,KANSAS CITY,,D,CITY,
290002,ST. LOUIS,,D,CITY,
300000,MONTANA,,B,STATE,
310000,NEBRASKA,,B,STATE,
320000,NEVADA,,B,STATE,
330000,NEW HAMPSHIRE,,B,STATE,
340000,NEW JERSEY,,B,STATE,
340001,NEWARK,ESSEX,D,CITY,
340002,JERSEY CITY,HUDSON,D,CITY,
350000,NEW MEXICO,,B,STATE,
360000,NEW YORK,,B,STATE,
360001,BRONX COUNTY,,C,COUNTY,
360002,DUTCHESS COUNTY,,C,COUNTY,
360003,KINGS,,C,COUNTY,
360004,NASSAU COUNTY,,C,COUNTY,
360005,NEW YORK COUNTY,,C,COUNTY,
360006,ORANGE COUNTY,,C,COUNTY,
360007,PUTNAM COUNTY,,C,COUNTY,
360008,QUEENS COUNTY,,C,COUNTY,
360009,RICHMOND,,C,COUNTY,
360010,ROCKLAND COUNTY,,C,COUNTY,
360011,SUFFOLK COUNTY,,C,COUNTY,
360012,WESTCHESTER COUNTY,,C,COUNTY,
360061,NEW YORK CITY,,D,CITY,
360097,YONKERS,WESTCHESTER,D,CITY,
370000,NORTH CAROLINA,,B,STATE,
380000,NORTH DAKOTA,,B,STATE,
390000,OHIO,,B,STATE,
390001,ADA EVSD,HARDIN,E,SCHOOL DISTRICT,
390002,ANNA LSD,SHELBY,E,SCHOOL DISTRICT,
390003,ANSONIA LSD,DARKE,E,SCHOOL DISTRICT,
390004,ANTWERP LSD,PAULDING,E,SCHOOL DISTRICT,
390005,ARCANUM BUTLER LSD,DARKE,E,SCHOOL DISTRICT,
390006,ARLINGTON LSD,HANCOCK,E,SCHOOL DISTRICT,
390007,BRADFORD EVSD,MIAMI,E,SCHOOL DISTRICT,
390008,BUCKEYE CENTRAL LSD,CRAWFORD,E,SCHOOL DISTRICT,
390009,BUCKEYE VALLEY LSD,DELAWARE,E,SCHOOL DISTRICT,
390010,NATIONAL TRAIL LSD,PREBLE,E,SCHOOL DISTRICT,
390011,CANAL WINCHESTER LSD,FRANKLIN,E,SCHOOL DISTRICT,
390012,CEDAR CLIFF LSD,GREENE,E,SCHOOL DISTRICT,
390013,CENTERBURG LSD,KNOX,E,SCHOOL DISTRICT,
390014,CENTRAL LSD,DEFIANCE,E,SCHOOL DISTRICT,
390015,COLDWATER EVSD,MERCER,E,SCHOOL DISTRICT,
390016,CONTINENTAL LSD,PUTNAM,E,SCHOOL DISTRICT,
390017,CORY-RAWSON LSD,HANCOCK,E,SCHOOL DISTRICT,
390018,CRESTVIEW LSD,COLUMBIANA,E,SCHOOL DISTRICT,
390019,DANVILLE LSD,KNOX,E,SCHOOL DISTRICT,
390020,DEFIANCE CSD,DEFIANCE,E,SCHOOL DISTRICT,
390021,EDGERTON LSD,WILLIAMS,E,SCHOOL DISTRICT,
390022,ELMWOOD LSD,WOOD,E,SCHOOL DISTRICT,
390023,EVERGREEN LSD,FULTON,E,SCHOOL DISTRICT,
390024,FAIRBANKS LSD,UNION,E,SCHOOL DISTRICT,
390025,FAIRBORN CSD,GREENE,E,SCHOOL DISTRICT,
390026,FAIRFIELD UNION LSD,FAIRFIELD,E,SCHOOL DISTRICT,
390027,FAIRLAWN LSD,SHELBY,E,SCHOOL DISTRICT,
390028,FORT RECOVERY LSD,MERCER,E,SCHOOL DISTRICT,
390029,GORHAM FAYETTE LSD,FULTON,E,SCHOOL DISTRICT,
390030,GOSHEN LSD,CLERMONT,E,SCHOOL DISTRICT,
390031,GREENEVIEW LSD,GREENE,E,SCHOOL DISTRICT,
390032,GREENVILLE CSD,DARKE,E,SCHOOL DISTRICT,
390033,HARDIN-HOUSTON LSD,SHELBY,E,SCHOOL DISTRICT,
390034,HARDIN NORTHERN LSD,HARDIN,E,SCHOOL DISTRICT,
390035,HICKSVILLE EVSD,DEFIANCE,E,SCHOOL DISTRICT,
390036,HIGHLAND LSD,MORROW,E,SCHOOL DISTRICT,
390037,HILLSBORO CSD,HIGHLAND,E,SCHOOL DISTRICT,
390038,HOLGATE LSD,HENRY,E,SCHOOL DISTRICT,
390039,LEIPSIC LSD,PUTNAM,E,SCHOOL DISTRICT,
390040,LIBERTY UNION-THURSTON LSD,FAIRFIELD,E,SCHOOL DISTRICT,
390041,LOUDONVILLE-PERRYSVILLE EVSD,ASHLAND,E,SCHOOL DISTRICT,
390042,MADISON LSD,BUTLER,E,SCHOOL DISTRICT,
390043,MCCOMB LSD,HANCOCK,E,SCHOOL DISTRICT,
390044,MIAMI EAST LSD,MIAMI,E,SCHOOL DISTRICT,
390045,MILLER CITY-NEW CLEVELAND LSD,PUTNAM,E,SCHOOL DISTRICT,
390046,MISSISSINAWA VALLEY LSD,DARKE,E,SCHOOL DISTRICT,
390047,NEW LONDON LSD,HURON,E,SCHOOL DISTRICT,
390048,NEW MIAMI LSD,BUTLER,E,SCHOOL DISTRICT,
390049,NEW RIEGEL LSD,SENECA,E,SCHOOL DISTRICT,
390050,NEWTON LSD,MIAMI,E,SCHOOL DISTRICT,
390051,NORTH UNION LSD,UNION,E,SCHOOL DISTRICT,
390052,NORTHMOR LSD,MORROW,E,SCHOOL DISTRICT,
390053,NORTHWESTERN LSD,WAYNE,E,SCHOOL DISTRICT,
390054,NORWALK CSD,HURON,E,SCHOOL DISTRICT,
390055,OBERLIN CSD,LORAIN,E,SCHOOL DISTRICT,
390056,OTTAWA-GLANDORF LSD,PUTNAM,E,SCHOOL DISTRICT,
390057,PAINT VALLEY LSD,ROSS,E,SCHOOL DISTRICT,
390058,PATRICK HENRY LSD,HENRY,E,SCHOOL DISTRICT,
390059,PAULDING EVSD,PAULDING,E,SCHOOL DISTRICT,
390060,PERRYSBURG EVSD,WOOD,E,SCHOOL DISTRICT,
390061,PICKERINGTON LSD,FAIRFIELD,E,SCHOOL DISTRICT,
390062,PIQUA CSD,MIAMI,E,SCHOOL DISTRICT,
390063,PLYMOUTH-SHILOH LSD,RICHLAND,E,SCHOOL DISTRICT,
390064,PREBLE SHAWNEE LSD,PREBLE,E,SCHOOL DISTRICT,
390065,REYNOLDSBURG CSD,FRANKLIN,E,SCHOOL DISTRICT,
390066,RIDGEMONT LSD,HARDIN,E,SCHOOL DISTRICT,
390067,RUSSIA LSD,SHELBY,E,SCHOOL DISTRICT,
390068,SOUTH CENTRAL LSD,HURON,E,SCHOOL DISTRICT,
390069,SOUTHEASTERN LSD,CLARK,E,SCHOOL DISTRICT,
390070,SOUTHWEST LICKING LSD,LICKING,E,SCHOOL DISTRICT,
390071,SPRINGFIELD LSD,MAHONING,E,SCHOOL DISTRICT,
