userCode,bSICode,name,type
BSIE065,E065,3RD PARTY SICK PAY - OUTSIDE VENDOR,EARNING
BSIE068,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY,EARNING
BSIE070,E070,EMPLOYEE ADULT CHILD HLTH INSURANCE,EARNING
BSIE071,E071,EMPLOYER ADULT CHILD HLTH INSURANCE,EARNING
BSIE072,E072,ER PREMIUM SAME-SEX PARTNER MEDICAL,EARNING
BSIE073,E073,ER PREMIUM SAME-SEX PARTNER DENTAL,EARNING
BSIE074,E074,ADOPTION ASSIST-CHILD 1 (SEC 125),EARNING
BSIE075,E075,ADOPTION ASSIST-CHILD 2 (SEC 125),EARNING
BSIE076,E076,ADOPTION ASSIST-CHILD 3 (SEC 125),EARNING
BSIE077,E077,SEVERANCE PAY - OTHER,EARNING
BSIE078,E078,ER PREMIUM SAME-SEX PARTNER VISION,EARNING
BSIE079,E079,TIPS ALTERNATE EMPLOYER RULE,EARNING
BSIE080,E080,TUITION REIMBURSEMENT (SEC 132),EARNING
BSIE081,E081,QSEHRA SINGLE,EARNING
BSIE082,E082,QSEHRA FAMILY,EARNING
BSIE083,E083,GARNISHMENT ADJUSTMENT-INCREASE,EARNING
BSIE084,E084,YOUNG RESIDENT EE EXEMPT WAGES,EARNING
BSIE085,E085,QUALIFIED MOVING EXP-AF ACTIVE DUTY,EARNING
BSIE087,E087,MINIMUM WAGE MAKEUP,EARNING
BSIP001,P001,401K,BENEFIT PLAN
BSIP002,P002,403B,BENEFIT PLAN
BSIP003,P003,408K,BENEFIT PLAN
BSIP004,P004,457B STATE AND LOCAL GOVMNT,BENEFIT PLAN
BSIP005,P005,7701J,BENEFIT PLAN
BSIP006,P006,SECTION 125,BENEFIT PLAN
BSIP007,P007,DENTAL INSURANCE (SEC 125),BENEFIT PLAN
BSIP008,P008,GROUP TERM LIFE (SEC 125),BENEFIT PLAN
BSIP009,P009,HEALTH INSURANCE (SEC 125),BENEFIT PLAN
BSIP010,P010,DEPENDENT CARE FILING SEP (SEC 125),BENEFIT PLAN
BSIP011,P011,DEPENDENT CARE MARRIED (SEC 125),BENEFIT PLAN
BSIP012,P012,CASH OUT (SEC 125),BENEFIT PLAN
BSIP014,P014,SIMPLE 401K,BENEFIT PLAN
BSIP016,P016,401K ROTH,BENEFIT PLAN
BSIP017,P017,403B ROTH,BENEFIT PLAN
BSIP018,P018,QUALIFIED PARKING,BENEFIT PLAN
BSIP019,P019,TRANSPORTATION CHV,BENEFIT PLAN
BSIP020,P020,HSA SELF-ONLY (SEC 125),BENEFIT PLAN
BSIP021,P021,HSA FAMILY (SEC 125),BENEFIT PLAN
BSIP022,P022,457B TAX EXEMPT ENTITY,BENEFIT PLAN
BSIP023,P023,COMMUTER BENEFITS/SALARY REDUCTION,BENEFIT PLAN
BSIP024,P024,FSA HEALTH,BENEFIT PLAN
BSIP025,P025,457F N.Q. DEFERRED COMPENSATION,BENEFIT PLAN
BSIP026,P026,ROTH 457B,BENEFIT PLAN
BSIP029,P029,409A N.Q. DEFERRED COMPENSATION,BENEFIT PLAN
BSIP030,P030,409A NQDC VESTED PLAN,BENEFIT PLAN
BSIP031,P031,SIMPLE IRA 408P,BENEFIT PLAN
BSIP053,P053,HSA SINGLE (NON-SEC 125),BENEFIT PLAN
BSIP054,P054,HSA FAMILY (NON-SEC 125),BENEFIT PLAN
BSIP055,P055,7701J ROTH,BENEFIT PLAN
BSIP056,P056,COST OF ER-SPONSORED PLAN COVERAGE,BENEFIT PLAN
BSIP057,P057,SAME-SEX PARTNER DNTL INS (SEC 125),BENEFIT PLAN
BSIP059,P059,SAME-SEX PARTNER MED INS (SEC 125),BENEFIT PLAN
BSIP060,P060,VISION INSURANCE (SEC 125),BENEFIT PLAN
BSIP061,P061,SAME-SEX PARTNER VISION,BENEFIT PLAN
BSIP062,P062,401K (SEC 125),BENEFIT PLAN
BSIP063,P063,OREGONSAVES (UP TO AGE 50),BENEFIT PLAN
BSIP064,P064,OREGONSAVES (AGE 50 AND OVER),BENEFIT PLAN
