User Code,BSI Code,Authority Name,Preferred,Authority Title,County ID
BSI00210006,210006,CARROLL,N,COUNTY,
BSI00210007,210007,CLARK,N,COUNTY,
BSI00210008,210008,CUMBERLAND,N,COUNTY,
BSI00210009,210009,LEXINGTON-FAYETTE URBAN COUNTY,N,CITY,FAYETTE
BSI00210010,210010,FRANKLIN,N,COUNTY,
BSI00210011,210011,GARRARD,N,COUNTY,
BSI00210012,210012,HANCOCK,N,COUNTY,
BSI00210013,210013,METRO LOUISVILLE/JEFFERSON,N,COUNTY,
BSI00210014,210014,JESSAMINE,N,COUNTY,
BSI00210015,210015,KENTON,N,COUNTY,
BSI00210017,210017,MADISON,N,COUNTY,
BSI00210018,210018,MARION,N,COUNTY,
BSI00210019,210019,MARSHALL,N,COUNTY,
BSI00210020,210020,MCCRACKEN,N,COUNTY,
BSI00210021,210021,MONROE,N,COUNTY,
BSI00210022,210022,MONTGOMERY,N,COUNTY,
BSI00210023,210023,NELSON,N,COUNTY,
BSI00210024,210024,NICHOLAS,N,COUNTY,
BSI00210025,210025,POWELL,N,COUNTY,
BSI00210026,210026,PULASKI,N,COUNTY,
BSI00210027,210027,ROWAN,N,COUNTY,
BSI00210028,210028,SCOTT,N,COUNTY,
BSI00210029,210029,SHELBY,N,COUNTY,
BSI00210030,210030,WARREN,N,COUNTY,
BSI00210031,210031,WOODFORD,N,COUNTY,
BSI00210032,210032,ESTILL,N,COUNTY,
BSI00210033,210033,MERCER,N,COUNTY,
BSI00210034,210034,GRAVES,N,COUNTY,
BSI00210035,210035,BOURBON,N,COUNTY,
BSI00210036,210036,CLINTON,N,COUNTY,
BSI00210037,210037,HARRISON,N,COUNTY,
BSI00210038,210038,HART,N,COUNTY,
BSI00210040,210040,METCALFE,N,COUNTY,
BSI00210041,210041,OHIO,N,COUNTY,
BSI00210042,210042,RUSSELL,N,COUNTY,
BSI00210043,210043,BALLARD,N,COUNTY,
BSI00210044,210044,LAUREL,N,COUNTY,
BSI00210045,210045,BREATHITT,N,COUNTY,
BSI00210046,210046,GRAYSON,N,COUNTY,
BSI00210047,210047,WASHINGTON,N,COUNTY,
BSI00210048,210048,BEATTYVILLE,N,CITY,LEE
BSI00210049,210049,CASEY,N,COUNTY,
BSI00210050,210050,TAYLOR,N,COUNTY,
BSI00210051,210051,KNOX,N,COUNTY,
BSI00210201,210201,ADAIRVILLE,N,CITY,LOGAN
BSI00210202,210202,AUBURN,N,CITY,LOGAN
BSI00210203,210203,AUGUSTA,N,CITY,BRACKEN
BSI00210204,210204,BELLEVUE,N,CITY,CAMPBELL
BSI00210205,210205,BENTON,N,CITY,MARSHALL
BSI00210206,210206,BEREA,N,CITY,MADISON
BSI00210207,210207,BOWLING GREEN,N,CITY,WARREN
BSI00210208,210208,BROWNSVILLE,N,CITY,EDMONSON
BSI00210209,210209,BURKESVILLE,N,CITY,CUMBERLAND
BSI00210210,210210,CADIZ,N,CITY,TRIGG
BSI00210211,210211,CATLETTSBURG,N,CITY,BOYD
BSI00210212,210212,CAVE CITY,N,CITY,BARREN
BSI00210213,210213,COVINGTON,N,CITY,KENTON
BSI00210214,210214,CRESCENT SPRINGS,N,CITY,KENTON
BSI00210215,210215,CRESTVIEW HILLS,N,CITY,KENTON
BSI00210216,210216,CYNTHIANA,N,CITY,HARRISON
BSI00210217,210217,DANVILLE,N,CITY,BOYLE
BSI00210218,210218,DAWSON SPRINGS,N,CITY,HOPKINS
BSI00210219,210219,DAYTON,N,CITY,CAMPBELL
BSI00210220,210220,EDGEWOOD,N,CITY,KENTON
BSI00210221,210221,EDMONTON,N,CITY,METCALFE
BSI00210222,210222,ELIZABETHTOWN,N,CITY,HARDIN
BSI00210223,210223,ELKTON,N,CITY,TODD
BSI00210224,210224,ELSMERE,N,CITY,KENTON
BSI00210225,210225,FLEMINGSBURG,N,CITY,FLEMING
BSI00210226,210226,FLORENCE,N,CITY,BOONE
BSI00210227,210227,FORT MITCHELL,N,CITY,KENTON
BSI00210228,210228,FORT THOMAS,N,CITY,CAMPBELL
BSI00210229,210229,FORT WRIGHT,N,CITY,KENTON
BSI00210230,210230,FRANKFORT,N,CITY,FRANKLIN
BSI00210231,210231,FRANKLIN,N,CITY,SIMPSON
BSI00210232,210232,FULTON,N,CITY,FULTON
BSI00210233,210233,GAMALIEL,N,CITY,MONROE
BSI00210234,210234,GEORGETOWN,N,CITY,SCOTT
BSI00210235,210235,GLASGOW,N,CITY,BARREN
BSI00210236,210236,HARRODSBURG,N,CITY,MERCER
BSI00210237,210237,HAZARD,N,CITY,PERRY
BSI00210238,210238,HICKMAN,N,CITY,FULTON
BSI00210239,210239,HOPKINSVILLE,N,CITY,CHRISTIAN
BSI00210240,210240,INDEPENDENCE,N,CITY,KENTON
BSI00210241,210241,JACKSON,N,CITY,BREATHITT
BSI00210242,210242,JAMESTOWN,N,CITY,RUSSELL
BSI00210243,210243,JEFFERSONTOWN,N,CITY,JEFFERSON
BSI00210244,210244,LEBANON,N,CITY,MARION
BSI00210245,210245,LEITCHFIELD,N,CITY,GRAYSON
BSI00210246,210246,LEWISBURG,N,CITY,LOGAN
BSI00210247,210247,LOUISVILLE,N,CITY,JEFFERSON
BSI00210248,210248,LUDLOW,N,CITY,KENTON
BSI00210249,210249,MADISONVILLE,N,CITY,HOPKINS
BSI00210250,210250,MARION,N,CITY,CRITTENDEN
BSI00210251,210251,MAYFIELD,N,CITY,GRAVES
BSI00210252,210252,MAYSVILLE,N,CITY,MASON
BSI00210253,210253,MIDDLESBORO,N,CITY,BELL
BSI00210254,210254,MIDWAY,N,CITY,WOODFORD
BSI00210255,210255,MOREHEAD,N,CITY,ROWAN
BSI00210256,210256,MORGANTOWN,N,CITY,BUTLER
BSI00210257,210257,MT. STERLING,N,CITY,MONTGOMERY
BSI00210258,210258,NEWPORT,N,CITY,CAMPBELL
BSI00210259,210259,NICHOLASVILLE,N,CITY,JESSAMINE
BSI00210260,210260,OWENSBORO,N,CITY,DAVIESS
BSI00210261,210261,PADUCAH,N,CITY,MCCRACKEN
BSI00210262,210262,PAINTSVILLE,N,CITY,JOHNSON
BSI00210263,210263,PARIS,N,CITY,BOURBON
BSI00210264,210264,PARK HILLS,N,CITY,KENTON
BSI00210265,210265,PIKEVILLE,N,CITY,PIKE
BSI00210266,210266,PINEVILLE,N,CITY,BELL
BSI00210267,210267,PRESTONSBURG,N,CITY,FLOYD
BSI00210268,210268,PRINCETON,N,CITY,CALDWELL
BSI00210269,210269,RADCLIFF,N,CITY,HARDIN
BSI00210270,210270,RICHMOND,N,CITY,MADISON
BSI00210271,210271,RUSSELL SPRINGS,N,CITY,RUSSELL
BSI00210272,210272,RUSSELLVILLE,N,CITY,LOGAN
BSI00210273,210273,ST. MATTHEWS,N,CITY,JEFFERSON
BSI00210274,210274,SCOTTSVILLE,N,CITY,ALLEN
BSI00210275,210275,SHELBYVILLE,N,CITY,SHELBY
BSI00210276,210276,SHIVELY,N,CITY,JEFFERSON
BSI00210277,210277,SOUTHGATE,N,CITY,CAMPBELL
BSI00210278,210278,SPRINGFIELD,N,CITY,WASHINGTON
BSI00210279,210279,STANTON,N,CITY,POWELL
BSI00210280,210280,VANCEBURG,N,CITY,LEWIS
BSI00210281,210281,VERSAILLES,N,CITY,WOODFORD
BSI00210282,210282,WARSAW,N,CITY,GALLATIN
BSI00210283,210283,WEST BUECHEL,N,CITY,JEFFERSON
BSI00210284,210284,WILDER,N,CITY,CAMPBELL
BSI00210285,210285,WILMORE,N,CITY,JESSAMINE
BSI00210286,210286,WINCHESTER,N,CITY,CLARK
BSI00210287,210287,CALVERT,N,CITY,MARSHALL
BSI00210289,210289,ERLANGER,N,CITY,KENTON
BSI00210290,210290,TAYLOR MILL,N,CITY,KENTON
BSI00210291,210291,EMINENCE,N,CITY,HENRY
BSI00210292,210292,CLAY,N,COUNTY,
BSI00210293,210293,SILVER GROVE,N,CITY,CAMPBELL
BSI00210294,210294,OAK GROVE,N,CITY,CHRISTIAN
BSI00210295,210295,COLD SPRING,N,CITY,CAMPBELL
BSI00210296,210296,OWENTON,N,CITY,OWEN
BSI00210297,210297,CARLISLE,N,CITY,NICHOLAS
BSI00210298,210298,CALDWELL,N,COUNTY,
BSI00210299,210299,BROOKSVILLE,N,CITY,BRACKEN
BSI00210300,210300,SHEPHERDSVILLE,N,CITY,BULLITT
BSI00210301,210301,LAKESIDE PARK,N,CITY,KENTON
BSI00210302,210302,VILLA HILLS,N,CITY,KENTON
BSI00210303,210303,WOLFE,N,COUNTY,
BSI00210304,210304,ELKHORN CITY,N,CITY,PIKE
BSI00210305,210305,SALYERSVILLE,N,CITY,MAGOFFIN
BSI00210306,210306,LEBANON JUNCTION,N,CITY,BULLITT
BSI00210307,210307,ALEXANDRIA,N,CITY,CAMPBELL
BSI00210308,210308,JOHNSON,N,COUNTY,
BSI00210309,210309,HILLVIEW,N,CITY,BULLITT
BSI00210310,210310,BROMLEY,N,CITY,KENTON
BSI00210311,210311,STANFORD,N,CITY,LINCOLN
BSI00210312,210312,PARK CITY,N,CITY,BARREN
BSI00210313,210313,MULDRAUGH,N,CITY,MEADE
BSI00210314,210314,EDDYVILLE,N,CITY,LYON
BSI00210315,210315,ASHLAND,N,CITY,BOYD
BSI00210316,210316,LINCOLN,N,COUNTY,
BSI00210317,210317,HIGHLAND HEIGHTS,N,CITY,CAMPBELL
BSI00210318,210318,CAMARGO,N,CITY,MONTGOMERY
BSI00210319,210319,HODGENVILLE,N,CITY,LARUE
BSI00210320,210320,JEFFERSONVILLE,N,CITY,MONTGOMERY
BSI00210321,210321,MT. WASHINGTON,N,CITY,BULLITT
BSI00210322,210322,LIVINGSTON,N,COUNTY,
BSI00210323,210323,MOUNT VERNON,N,CITY,ROCKCASTLE
BSI00210324,210324,DRY RIDGE,N,CITY,GRANT
BSI00210325,210325,MCLEAN,N,COUNTY,
BSI00210326,210326,RUSSELL,N,CITY,GREENUP
BSI00210327,210327,CLINTON,N,CITY,HICKMAN
BSI00210328,210328,GREENSBURG,N,CITY,GREEN
BSI00210329,210329,GUTHRIE,N,CITY,TODD
BSI00210330,210330,MARTIN,N,CITY,FLOYD
BSI00210331,210331,TODD,N,COUNTY,
BSI00210332,210332,SIMPSON,N,COUNTY,
BSI00210333,210333,WAYNE,N,COUNTY,
BSI00210334,210334,CLARKSON,N,CITY,GRAYSON
BSI00210336,210336,MARTIN,N,COUNTY,
BSI00210337,210337,BOYD,N,COUNTY,
BSI00210338,210338,LOGAN,N,COUNTY,
BSI00210339,210339,MENIFEE,N,COUNTY,
BSI00210340,210340,CLAY,N,CITY,POWELL
BSI00210341,210341,MILLERSBURG,N,CITY,BOURBON
BSI00210342,210342,BARDSTOWN,N,CITY,NELSON
BSI00210343,210343,BARBOURVILLE,N,CITY,KNOX
BSI00210344,210344,JUNCTION CITY,N,CITY,BOYLE
BSI00210345,210345,MAGOFFIN,N,COUNTY,
BSI00210346,210346,MCCREARY,N,COUNTY,
BSI00210347,210347,GALLATIN,N,COUNTY,
BSI00210348,210348,UNION,N,COUNTY,
BSI00210349,210349,FAYETTE,N,COUNTY,
BSI00210350,210350,DAVIESS,N,COUNTY,
BSI00210351,210351,WHITLEY,N,COUNTY,
BSI00210352,210352,JACKSON,N,COUNTY,
BSI00210353,210353,MOUNT OLIVET,N,CITY,ROBERTSON
BSI00210354,210354,ROBERTSON,N,COUNTY,
BSI00210355,210355,TOMPKINSVILLE,N,CITY,MONROE
BSI00210356,210356,HENDERSON,N,CITY,HENDERSON
BSI00210357,210357,PENDLETON,N,COUNTY,
BSI00210358,210358,BATH,N,COUNTY,
BSI00210359,210359,WEST POINT,N,CITY,HARDIN
BSI00210360,210360,PIONEER VILLAGE,N,CITY,BULLITT
BSI00210361,210361,HORSE CAVE,N,CITY,HART
BSI00210362,210362,MCKEE,N,CITY,JACKSON
BSI00210363,210363,HICKMAN,N,COUNTY,
BSI00210364,210364,WEST LIBERTY,N,CITY,MORGAN
BSI00210365,210365,LESLIE,N,COUNTY,
BSI00210366,210366,SPENCER,N,COUNTY,
BSI00210367,210367,GRAYSON,N,CITY,CARTER
BSI00210368,210368,MORGAN,N,COUNTY,
BSI00210369,210369,TAYLORSVILLE,N,CITY,SPENCER
BSI00210370,210370,WHEELWRIGHT,N,CITY,FLOYD
BSI00210371,210371,MUNFORDVILLE,N,CITY,HART
BSI00210372,210372,ROCKCASTLE,N,COUNTY,
BSI00210373,210373,CAMPBELLSVILLE,N,CITY,TAYLOR
BSI00210374,210374,COAL RUN VILLAGE,N,CITY,PIKE
BSI00210375,210375,PERRYVILLE,N,CITY,BOYLE
BSI00210376,210376,RACELAND,N,CITY,GREENUP
BSI00210377,210377,FOUNTAIN RUN,N,CITY,MONROE
BSI00210378,210378,NORTONVILLE,N,CITY,HOPKINS
BSI00210379,210379,BARDWELL,N,CITY,CARLISLE
BSI00210380,210380,VINE GROVE,N,CITY,HARDIN
BSI00210381,210381,CANEYVILLE,N,CITY,GRAYSON
BSI00210382,210382,GREENUP,N,CITY,GREENUP
BSI00210383,210383,CRITTENDEN,N,COUNTY,
BSI00210384,210384,JENKINS,N,CITY,LETCHER
BSI00210385,210385,EARLINGTON,N,CITY,HOPKINS
BSI00210386,210386,LA GRANGE,N,CITY,OLDHAM
BSI00210387,210387,HARTFORD,N,CITY,OHIO
BSI00210388,210388,WHITESBURG,N,CITY,LETCHER
BSI00210389,210389,OLIVE HILL,N,CITY,CARTER
BSI00210390,210390,WURTLAND,N,CITY,GREENUP
BSI00210391,210391,COLUMBIA,N,CITY,ADAIR
BSI00210392,210392,RYLAND HEIGHTS,N,CITY,KENTON
BSI00210393,210393,SOMERSET,N,CITY,PULASKI
BSI00210394,210394,PULASKI-SOMERSET,N,COUNTY,
BSI00210395,210395,PIKE,N,COUNTY,
BSI00210396,210396,HOPKINS,N,COUNTY,
BSI00210397,210397,HENDERSON,N,COUNTY,
BSI00210398,210398,SIMPSONVILLE,N,CITY,SHELBY
BSI00210399,210399,CORBIN,N,CITY,KNOX
BSI00210400,210400,PERRY,N,COUNTY,
BSI00210401,210401,GRANT,N,COUNTY,
BSI00210402,210402,LANCASTER,N,CITY,GARRARD
BSI00210403,210403,BRODHEAD,N,CITY,ROCKCASTLE
BSI00210404,210404,MURRAY,N,CITY,CALLOWAY
BSI00210405,210405,WHITLEY-CORBIN,N,CITY,WHITLEY
BSI00210406,210406,WHITLEY-WILLIAMSBURG,N,CITY,WHITLEY
BSI00220000,220000,LOUISIANA,N,STATE,
BSI00230000,230000,MAINE,N,STATE,
BSI00240000,240000,MARYLAND,N,STATE,
BSI00240001,240001,CALVERT,N,COUNTY,
BSI00240002,240002,WORCESTER,N,COUNTY,
BSI00240003,240003,TALBOT,N,COUNTY,
BSI00240004,240004,QUEEN ANNES,N,COUNTY,
BSI00240005,240005,ALLEGANY,N,COUNTY,
BSI00240006,240006,ANNE ARUNDEL,N,COUNTY,
BSI00240007,240007,BALTIMORE,N,COUNTY,
BSI00240008,240008,CAROLINE,N,COUNTY,
BSI00240009,240009,CARROLL,N,COUNTY,
BSI00240010,240010,CECIL,N,COUNTY,
BSI00240011,240011,CHARLES,N,COUNTY,
BSI00240012,240012,DORCHESTER,N,COUNTY,
BSI00240013,240013,FREDERICK,N,COUNTY,
BSI00240014,240014,GARRETT,N,COUNTY,
BSI00240015,240015,HARFORD,N,COUNTY,
BSI00240016,240016,HOWARD,N,COUNTY,
BSI00240017,240017,KENT,N,COUNTY,
BSI00240018,240018,MONTGOMERY,N,COUNTY,
BSI00240019,240019,PRINCE GEORGES,N,COUNTY,
BSI00240020,240020,SAINT MARYS,N,COUNTY,
BSI00240021,240021,SOMERSET,N,COUNTY,
BSI00240022,240022,WASHINGTON,N,COUNTY,
BSI00240023,240023,WICOMICO,N,COUNTY,
BSI00240101,240101,BALTIMORE,N,CITY,BALTIMORE CITY
BSI00248888,248888,UNKNOWN LOCAL,N,COUNTY,
BSI00250000,250000,MASSACHUSETTS,N,STATE,
BSI00260000,260000,MICHIGAN,N,STATE,
BSI00260001,260001,ALBION,N,CITY,CALHOUN
BSI00260002,260002,BATTLE CREEK,N,CITY,CALHOUN
BSI00260003,260003,BIG RAPIDS,N,CITY,MECOSTA
BSI00260004,260004,DETROIT,N,CITY,WAYNE
BSI00260005,260005,FLINT,N,CITY,GENESEE
BSI00260006,260006,GRAND RAPIDS,N,CITY,KENT
BSI00260007,260007,GRAYLING,N,CITY,CRAWFORD
BSI00260008,260008,HAMTRAMCK,N,CITY,WAYNE
BSI00260009,260009,HIGHLAND PARK,N,CITY,WAYNE
BSI00260010,260010,HUDSON,N,CITY,LENAWEE
BSI00260011,260011,JACKSON,N,CITY,JACKSON
BSI00260012,260012,LANSING,N,CITY,INGHAM
BSI00260013,260013,LAPEER,N,CITY,LAPEER
BSI00260014,260014,MUSKEGON HEIGHTS,N,CITY,MUSKEGON
BSI00260015,260015,PONTIAC,N,CITY,OAKLAND
BSI00260016,260016,PORT HURON,N,CITY,SAINT CLAIR
BSI00260017,260017,PORTLAND,N,CITY,IONIA
BSI00260018,260018,SAGINAW,N,CITY,SAGINAW
BSI00260019,260019,SPRINGFIELD,N,CITY,CALHOUN
BSI00260020,260020,WALKER,N,CITY,KENT
BSI00260021,260021,MUSKEGON,N,CITY,MUSKEGON
BSI00260022,260022,IONIA,N,CITY,IONIA
BSI00260023,260023,BENTON HARBOR,N,CITY,BERRIEN
BSI00260024,260024,EAST LANSING INGHAM-CLINTON,N,CITY,INGHAM
BSI00270000,270000,MINNESOTA,N,STATE,
BSI00280000,280000,MISSISSIPPI,N,STATE,
BSI00290000,290000,MISSOURI,N,STATE,
BSI00290001,290001,KANSAS CITY,N,CITY,
BSI00290002,290002,ST. LOUIS,N,CITY,
BSI00300000,300000,MONTANA,N,STATE,
BSI00310000,310000,NEBRASKA,N,STATE,
BSI00320000,320000,NEVADA,N,STATE,
BSI00330000,330000,NEW HAMPSHIRE,N,STATE,
BSI00340000,340000,NEW JERSEY,N,STATE,
BSI00340001,340001,NEWARK,N,CITY,ESSEX
BSI00340002,340002,JERSEY,N,CITY,HUDSON
BSI00350000,350000,NEW MEXICO,N,STATE,
BSI00360000,360000,NEW YORK,N,STATE,
BSI00360001,360001,BRONX COUNTY,N,COUNTY,
BSI00360002,360002,DUTCHESS COUNTY,N,COUNTY,
BSI00360003,360003,KINGS,N,COUNTY,
BSI00360004,360004,NASSAU COUNTY,N,COUNTY,
BSI00360005,360005,NEW YORK COUNTY,N,COUNTY,
BSI00360006,360006,ORANGE COUNTY,N,COUNTY,
BSI00360007,360007,PUTNAM COUNTY,N,COUNTY,
BSI00360008,360008,QUEENS COUNTY,N,COUNTY,
BSI00360009,360009,RICHMOND,N,COUNTY,
BSI00360010,360010,ROCKLAND COUNTY,N,COUNTY,
BSI00360011,360011,SUFFOLK COUNTY,N,COUNTY,
BSI00360012,360012,WESTCHESTER COUNTY,N,COUNTY,
BSI00360061,360061,NEW YORK CITY,N,CITY,
