authority,taxType,formula,startDate,endDate,maximumWage,taxRate,minimumWage
00040000 - ARIZONA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20130101,0,7000,0.02,0
00040000 - ARIZONA,011 - EMPLOYER DEBT REPAYMENT TAX,1,20130101,20121231,7000,0,0
00040000 - ARIZONA,016 - EMPLOYMENT TRAINING TAX,1,20130101,20151231,7000,0,0
00040000 - ARIZONA,016 - EMPLOYMENT TRAINING TAX,2,20130101,20151231,7000,0,0
00040000 - ARIZONA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00040000 - ARIZONA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00040000 - ARIZONA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00040000 - ARIZONA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00040000 - ARIZONA,089 - UI INTEREST ASSESSMENT FEE,1,20130101,0,7000,0,0
00040000 - ARIZONA,089 - UI INTEREST ASSESSMENT FEE,2,20130101,0,7000,0,0
00050000 - ARKANSAS,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,7000,0.03,0
00050000 - ARKANSAS,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,7000,0.03,0
00050000 - ARKANSAS,011 - EMPLOYER DEBT REPAYMENT TAX,1,20140101,20131231,7000,0,0
00050000 - ARKANSAS,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00050000 - ARKANSAS,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00050000 - ARKANSAS,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00050000 - ARKANSAS,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00060000 - CALIFORNIA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20130102,0,7000,0.03,0
00060000 - CALIFORNIA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20130102,0,7000,0.03,0
00060000 - CALIFORNIA,011 - EMPLOYER DEBT REPAYMENT TAX,1,20190101,20181231,7000,0,0
00060000 - CALIFORNIA,016 - EMPLOYMENT TRAINING TAX,1,20130102,0,7000,0,0
00060000 - CALIFORNIA,016 - EMPLOYMENT TRAINING TAX,2,20130102,0,7000,0,0
00060000 - CALIFORNIA,041 - EMPLOYEE DISABILITY TAX,1,20200102,0,122909,0.01,0
00060000 - CALIFORNIA,041 - EMPLOYEE DISABILITY TAX,2,20200102,0,122909,0.01,0
00060000 - CALIFORNIA,048 - EMPLOYEE VOLUNTARY DISABILITY TAX,1,20200102,0,122909,0.01,0
00060000 - CALIFORNIA,048 - EMPLOYEE VOLUNTARY DISABILITY TAX,2,20200102,0,122909,0.01,0
00060000 - CALIFORNIA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00060000 - CALIFORNIA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00060000 - CALIFORNIA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00060000 - CALIFORNIA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00060000 - CALIFORNIA,077 - EMPLOYER VOLUNTARY DISABILITY TAX,1,20200102,0,122909,0,0
00060000 - CALIFORNIA,077 - EMPLOYER VOLUNTARY DISABILITY TAX,2,20200102,0,122909,0,0
00060000 - CALIFORNIA,081 - DISABILITY INSURANCE VP ASMENT TAX,1,20200102,0,122909,0,0
00080000 - COLORADO,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,13600,0.02,0
00080000 - COLORADO,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,13600,0.02,0
00080000 - COLORADO,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00080000 - COLORADO,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,20100101,0,0.01,0
00080000 - COLORADO,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00080000 - COLORADO,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,20100101,0,0.01,0
00080000 - COLORADO,068 - P.E.R.S. - S.S. - EMPLOYER PICK-UP,1,20100101,0,0,0.01,0
00080000 - COLORADO,069 - P.E.R.S. - MED. - EMPLOYER PICK-UP,1,20100102,20100101,0,0,0
00080000 - COLORADO,078 - UNEMPLOYMENT SURCHARGE TAX,1,20200101,0,13600,0,0
00080000 - COLORADO,078 - UNEMPLOYMENT SURCHARGE TAX,2,20200101,0,13600,0,0
00080000 - COLORADO,082 - UNEMPLOYMENT SOLVENCY TAX SURCHARGE,1,20200101,0,13600,0,0
00080000 - COLORADO,082 - UNEMPLOYMENT SOLVENCY TAX SURCHARGE,2,20200101,0,13600,0,0
00090000 - CONNECTICUT,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,15000,0.03,0
00090000 - CONNECTICUT,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,15000,0.03,0
00090000 - CONNECTICUT,011 - EMPLOYER DEBT REPAYMENT TAX,1,20160101,20161231,7000,0,0
00090000 - CONNECTICUT,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00090000 - CONNECTICUT,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00090000 - CONNECTICUT,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00090000 - CONNECTICUT,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00100000 - DELAWARE,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,16500,0.02,0
00100000 - DELAWARE,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,16500,0.02,0
00100000 - DELAWARE,011 - EMPLOYER DEBT REPAYMENT TAX,1,20140101,20131231,7000,0,0
00100000 - DELAWARE,016 - EMPLOYMENT TRAINING TAX,1,20180101,0,16500,0,0
00100000 - DELAWARE,016 - EMPLOYMENT TRAINING TAX,2,20180101,0,16500,0,0
00100000 - DELAWARE,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00100000 - DELAWARE,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00100000 - DELAWARE,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00100000 - DELAWARE,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00110000 - DISTRICT OF COLUMBIA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20130101,0,9000,0.03,0
00110000 - DISTRICT OF COLUMBIA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20130101,0,9000,0.03,0
00110000 - DISTRICT OF COLUMBIA,015 - ER JOB DEVMT ASSESSMT TX,1,20130101,0,9000,0,0
00110000 - DISTRICT OF COLUMBIA,015 - ER JOB DEVMT ASSESSMT TX,2,20130101,0,9000,0,0
00110000 - DISTRICT OF COLUMBIA,098 - EMPLOYER FAMILY LEAVE INSURANCE TAX,1,20190401,0,1000000000,0.01,0
00120000 - FLORIDA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20150101,0,7000,0.03,0
00120000 - FLORIDA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20150101,0,7000,0.03,0
00120000 - FLORIDA,011 - EMPLOYER DEBT REPAYMENT TAX,1,20130101,20121231,7000,0,0
00120000 - FLORIDA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00120000 - FLORIDA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00120000 - FLORIDA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00120000 - FLORIDA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00130000 - GEORGIA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20170101,0,9500,0.03,0
00130000 - GEORGIA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20170101,0,9500,0.03,0
00130000 - GEORGIA,011 - EMPLOYER DEBT REPAYMENT TAX,1,20140101,20131231,7000,0,0
00130000 - GEORGIA,015 - ER JOB DEVMT ASSESSMT TX,1,20170101,0,9500,0,0
00130000 - GEORGIA,015 - ER JOB DEVMT ASSESSMT TX,2,20170101,0,9500,0,0
00130000 - GEORGIA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00130000 - GEORGIA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00130000 - GEORGIA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00130000 - GEORGIA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00150000 - HAWAII,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,48100,0.02,0
00150000 - HAWAII,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,48100,0.02,0
00150000 - HAWAII,016 - EMPLOYMENT TRAINING TAX,1,20200101,0,48100,0,0
00150000 - HAWAII,016 - EMPLOYMENT TRAINING TAX,2,20200101,0,48100,0,0
00150000 - HAWAII,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00150000 - HAWAII,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00150000 - HAWAII,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00150000 - HAWAII,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00160000 - IDAHO,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,41600,0.01,0
00160000 - IDAHO,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,41600,0.01,0
00160000 - IDAHO,018 - EMPLOYER WORKFORCE DEVLMT TX,1,20200101,0,41600,0,0
00160000 - IDAHO,018 - EMPLOYER WORKFORCE DEVLMT TX,2,20200101,0,41600,0,0
00160000 - IDAHO,029 - SPECIAL ADMIN RESERVE FUND TAX,1,20200101,0,41600,0,0
00160000 - IDAHO,029 - SPECIAL ADMIN RESERVE FUND TAX,2,20200101,0,41600,0,0
00160000 - IDAHO,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00160000 - IDAHO,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00160000 - IDAHO,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00160000 - IDAHO,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00170000 - ILLINOIS,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,12740,0.03,0
00170000 - ILLINOIS,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,12740,0.03,0
00170000 - ILLINOIS,011 - EMPLOYER DEBT REPAYMENT TAX,1,20130101,20111231,7000,0,0
00170000 - ILLINOIS,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00170000 - ILLINOIS,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00170000 - ILLINOIS,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00170000 - ILLINOIS,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00180000 - INDIANA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20130101,0,9500,0.02,0
00180000 - INDIANA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20130101,0,9500,0.02,0
00180000 - INDIANA,011 - EMPLOYER DEBT REPAYMENT TAX,1,20150101,20151231,7000,0,0
00180000 - INDIANA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00180000 - INDIANA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00180000 - INDIANA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00180000 - INDIANA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00190000 - IOWA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,31600,0.01,0
00190000 - IOWA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,31600,0.01,0
00190000 - IOWA,015 - ER JOB DEVMT ASSESSMT TX,1,20030101,20031231,19200,0,0
00190000 - IOWA,029 - SPECIAL ADMIN RESERVE FUND TAX,1,20200101,0,31600,0,0
00190000 - IOWA,029 - SPECIAL ADMIN RESERVE FUND TAX,2,20200101,0,31600,0,0
00190000 - IOWA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00190000 - IOWA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00190000 - IOWA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00190000 - IOWA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00200000 - KANSAS,010 - EMPLOYER UNEMPLOYMENT TAX,1,20160101,0,14000,0.03,0
00200000 - KANSAS,010 - EMPLOYER UNEMPLOYMENT TAX,2,20160101,0,14000,0.03,0
00200000 - KANSAS,010 - EMPLOYER UNEMPLOYMENT TAX,3,20160101,0,0,0,0
00200000 - KANSAS,010 - EMPLOYER UNEMPLOYMENT TAX,4,20160101,0,0,0,0
00200000 - KANSAS,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00200000 - KANSAS,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00200000 - KANSAS,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00200000 - KANSAS,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00210000 - KENTUCKY,009 - EMPLOYER SPECIAL PAYROLL TAX,1,19990101,20011231,8000,0,0
00210000 - KENTUCKY,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,10800,0.03,0
00210000 - KENTUCKY,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,10800,0.03,0
00210000 - KENTUCKY,011 - EMPLOYER DEBT REPAYMENT TAX,1,20150101,20151231,7000,0,0
00210000 - KENTUCKY,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00210000 - KENTUCKY,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00210000 - KENTUCKY,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00210000 - KENTUCKY,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00210000 - KENTUCKY,078 - UNEMPLOYMENT SURCHARGE TAX,1,20200101,0,10800,0,0
00210000 - KENTUCKY,078 - UNEMPLOYMENT SURCHARGE TAX,2,20200101,0,10800,0,0
00210002 - BOONE,044 - EE MENTAL HEALTH TAX,1,19870401,0,16666,0,0
00210002 - BOONE,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,63136,0.01,0
00210005 - CAMPBELL,045 - EMPLOYEE SENIOR CITIZEN TAX,1,20050101,0,38667,0,0
00210005 - CAMPBELL,046 - EMPLOYEE MENTAL HEALTH TAX,1,20050101,0,38667,0,0
00210005 - CAMPBELL,049 - EE SEN CIT/MNTAL HLT/TRANSP TX,1,20050101,0,38667,0.01,0
00210005 - CAMPBELL,050 - EMPLOYEE TRANSPORTATION TAX,1,20050101,0,38667,0.01,0
00210006 - CARROLL,051 - EMPLOYEE OCCUPATION TAX,1,20180101,0,5005000,0.01,5000
00210007 - CLARK,051 - EMPLOYEE OCCUPATION TAX,1,19920101,0,0,0.01,0
00210008 - CUMBERLAND,051 - EMPLOYEE OCCUPATION TAX,1,20111001,0,60000,0.01,0
00210008 - CUMBERLAND,053 - EMPLOYEE SCHOOL TAX,1,19920101,0,100000,0,0
00210015 - KENTON,051 - EMPLOYEE OCCUPATION TAX,1,20010101,0,80400,0.01,0
00210019 - MARSHALL,051 - EMPLOYEE OCCUPATION TAX,1,20170101,0,6500000,0.01,0
00210022 - MONTGOMERY,051 - EMPLOYEE OCCUPATION TAX,1,20190701,0,0,0.02,10000
00210023 - NELSON,051 - EMPLOYEE OCCUPATION TAX,1,19920101,0,15000,0,0
00210025 - POWELL,051 - EMPLOYEE OCCUPATION TAX,1,19920101,0,30000,0.01,0
00210028 - SCOTT,051 - EMPLOYEE OCCUPATION TAX,1,19920102,0,0,0.01,10000
00210032 - ESTILL,051 - EMPLOYEE OCCUPATION TAX,1,19920101,0,46666,0.01,0
00210042 - RUSSELL,051 - EMPLOYEE OCCUPATION TAX,1,20170101,0,333333.33,0.01,0
00210203 - AUGUSTA,051 - EMPLOYEE OCCUPATION TAX,1,20170101,0,72000,0.01,0
00210209 - BURKESVILLE,051 - EMPLOYEE OCCUPATION TAX,1,20150101,0,37500,0.02,0
00210213 - COVINGTON,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.02,0
00210214 - CRESCENT SPRINGS,051 - EMPLOYEE OCCUPATION TAX,1,19950101,0,61200,0.01,0
00210215 - CRESTVIEW HILLS,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.01,0
00210226 - FLORENCE,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.02,0
00210229 - FORT WRIGHT,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.01,0
00210231 - FRANKLIN,051 - EMPLOYEE OCCUPATION TAX,1,20150101,0,118500,0.01,0
00210234 - GEORGETOWN,051 - EMPLOYEE OCCUPATION TAX,1,19920102,0,0,0.01,10000
00210237 - HAZARD,051 - EMPLOYEE OCCUPATION TAX,1,19990701,0,60000,0.01,0
00210241 - JACKSON,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.02,0
00210242 - JAMESTOWN,051 - EMPLOYEE OCCUPATION TAX,1,20020101,0,40000,0.01,0
00210258 - NEWPORT,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.02,0
00210264 - PARK HILLS,051 - EMPLOYEE OCCUPATION TAX,1,20101001,0,50000,0.01,0
00210284 - WILDER,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.02,0
00210287 - CALVERT,051 - EMPLOYEE OCCUPATION TAX,1,20010101,0,3000000,0,0
00210295 - COLD SPRING,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.01,0
00210307 - ALEXANDRIA,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.01,0
00210317 - HIGHLAND HEIGHTS,051 - EMPLOYEE OCCUPATION TAX,1,20200101,0,137700,0.01,0
00210318 - CAMARGO,051 - EMPLOYEE OCCUPATION TAX,1,19900701,0,0,0.01,10000
00210319 - HODGENVILLE,051 - EMPLOYEE OCCUPATION TAX,1,20000701,0,75000,0.01,5000
00210325 - MCLEAN,051 - EMPLOYEE OCCUPATION TAX,1,20000701,0,50000,0.01,0
00210327 - CLINTON,051 - EMPLOYEE OCCUPATION TAX,1,20000701,0,40000,0,0
00210332 - SIMPSON,051 - EMPLOYEE OCCUPATION TAX,1,20190101,0,132900,0.01,0
00210342 - BARDSTOWN,051 - EMPLOYEE OCCUPATION TAX,1,20120101,0,100000,0,0
00210359 - WEST POINT,051 - EMPLOYEE OCCUPATION TAX,1,20120813,0,50000,0.01,0
00210363 - HICKMAN,051 - EMPLOYEE OCCUPATION TAX,1,20070401,0,75000,0.01,0
00210372 - ROCKCASTLE,051 - EMPLOYEE OCCUPATION TAX,1,20080702,0,0,0.01,4000
00210396 - HOPKINS,051 - EMPLOYEE OCCUPATION TAX,1,20160101,0,500000,0,0
00220000 - LOUISIANA,008 - SOCIAL CHARGE TAX,1,20130101,0,7700,0.01,0
00220000 - LOUISIANA,008 - SOCIAL CHARGE TAX,2,20130101,0,7700,0.01,0
00220000 - LOUISIANA,010 - EMPLOYER UNEMPLOYMENT TAX,1,20130101,0,7700,0,0
00220000 - LOUISIANA,010 - EMPLOYER UNEMPLOYMENT TAX,2,20130101,0,7700,0,0
00220000 - LOUISIANA,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00220000 - LOUISIANA,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00220000 - LOUISIANA,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00220000 - LOUISIANA,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00230000 - MAINE,010 - EMPLOYER UNEMPLOYMENT TAX,1,20200101,0,12000,0.02,0
00230000 - MAINE,010 - EMPLOYER UNEMPLOYMENT TAX,2,20200101,0,12000,0.02,0
00230000 - MAINE,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00230000 - MAINE,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,20121231,0,0.01,0
00230000 - MAINE,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00230000 - MAINE,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,20121231,0,0.01,0
00230000 - MAINE,068 - P.E.R.S. - S.S. - EMPLOYER PICK-UP,1,20100101,0,0,0.01,0
00230000 - MAINE,085 - COMPETITIVENESS SKILLS SCHLR FUND,1,20130101,0,12000,0,0
00230000 - MAINE,085 - COMPETITIVENESS SKILLS SCHLR FUND,2,20130101,0,12000,0,0
00240000 - MARYLAND,010 - EMPLOYER UNEMPLOYMENT TAX,1,20130101,0,8500,0.03,0
00240000 - MARYLAND,010 - EMPLOYER UNEMPLOYMENT TAX,2,20130101,0,8500,0.03,0
00240000 - MARYLAND,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00240000 - MARYLAND,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00240000 - MARYLAND,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00240000 - MARYLAND,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,0,0,0.01,0
00250000 - MASSACHUSETTS,010 - EMPLOYER UNEMPLOYMENT TAX,1,20190101,0,15000,0.02,0
00250000 - MASSACHUSETTS,010 - EMPLOYER UNEMPLOYMENT TAX,2,20190101,0,15000,0.02,0
00250000 - MASSACHUSETTS,017 - EMPLOYER HEALTH INSURANCE TAX,1,20180101,20191231,15000,0.05,0
00250000 - MASSACHUSETTS,017 - EMPLOYER HEALTH INSURANCE TAX,2,20180101,20191231,15000,0.05,0
00250000 - MASSACHUSETTS,018 - EMPLOYER WORKFORCE DEVLMT TX,1,20150101,0,15000,0,0
00250000 - MASSACHUSETTS,018 - EMPLOYER WORKFORCE DEVLMT TX,2,20150101,0,15000,0,0
00250000 - MASSACHUSETTS,061 - EMPLOYEE RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00250000 - MASSACHUSETTS,062 - EMPLOYEE RETIREMENT PLAN-MED.,1,20130101,20121231,0,0.01,0
00250000 - MASSACHUSETTS,063 - EMPLOYER RETIREMENT PLAN-S.S,1,20130101,0,0,0.01,0
00250000 - MASSACHUSETTS,064 - EMPLOYER RETIREMENT PLAN-MED.,1,20130101,20121231,0,0.01,0
00250000 - MASSACHUSETTS,068 - P.E.R.S. - S.S. - EMPLOYER PICK-UP,1,20140101,0,0,0.01,0
00250000 - MASSACHUSETTS,087 - EMPLOYEE FAMILY LEAVE INSURANCE TAX,1,20200101,0,137700,0,0
