authorityCode,taxType,description1,payType,earn/PayCode,description2,employeeLimit,employeeFrequency,employerLimit,employerFrequency,Class,catchUpAmount
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E070,EMPLOYEE ADULT CHILD HLTH INSURANCE,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E071,EMPLOYER ADULT CHILD HLTH INSURANCE,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E072,ER PREMIUM SAME-SEX PARTNER MEDICAL,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E073,ER PREMIUM SAME-SEX PARTNER DENTAL,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E074,ADOPTION ASSIST-CHILD 1 (SEC 125),0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E075,ADOPTION ASSIST-CHILD 2 (SEC 125),0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E076,ADOPTION ASSIST-CHILD 3 (SEC 125),0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E077,SEVERANCE PAY - OTHER,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E078,ER PREMIUM SAME-SEX PARTNER VISION,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E079,TIPS ALTERNATE EMPLOYER RULE,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E080,TUITION REIMBURSEMENT (SEC 132),UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E081,QSEHRA SINGLE,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E082,QSEHRA FAMILY,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E083,GARNISHMENT ADJUSTMENT-INCREASE,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E084,YOUNG RESIDENT EE EXEMPT WAGES,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E085,QUALIFIED MOVING EXP-AF ACTIVE DUTY,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E087,MINIMUM WAGE MAKEUP,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E088,COVID-19 EMERGENCY PD SICK LEAVE-EE,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E089,COVID-19 EMERGENCY PD SICK LEAVE-DP,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,E,E090,COVID-19 EMERGENCY EXP F&M LEAVE-DP,0,,N/A,,,N/A
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P001,401K,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P002,403B,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P003,408K,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P004,457B STATE AND LOCAL GOVMNT,0,,EE/ER agg,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P005,7701J,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P006,SECTION 125,UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P007,DENTAL INSURANCE (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P008,GROUP TERM LIFE (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P009,HEALTH INSURANCE (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P010,DEPENDENT CARE FILING SEP (SEC 125),2500,YTD,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P011,DEPENDENT CARE MARRIED (SEC 125),5000,YTD,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P012,CASH OUT (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P014,SIMPLE 401K,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P016,401K ROTH,0,Tx/YTD,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P017,403B ROTH,0,Tx/YTD,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P018,QUALIFIED PARKING,0,,EE/ER agg,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P019,TRANSPORTATION CHV,0,,EE/ER agg,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P020,HSA SELF-ONLY (SEC 125),3550,Nontx/YTD,EE/ER agg,,CP,1000
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P021,HSA FAMILY (SEC 125),7100,Nontx/YTD,EE/ER agg,,CP,1000
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P022,457B TAX EXEMPT ENTITY,0,,EE/ER agg,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P023,COMMUTER BENEFITS/SALARY REDUCTION,0,,EE/ER agg,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P024,FSA HEALTH,0,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P025,457F N.Q. DEFERRED COMPENSATION,UNLIMITED,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P026,ROTH 457B,5000000,Tx/YTD,EE/ER agg,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P029,409A N.Q. DEFERRED COMPENSATION,UNLIMITED,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P030,409A NQDC VESTED PLAN,UNLIMITED,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P031,SIMPLE IRA 408P,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P053,HSA SINGLE (NON-SEC 125),3550,Tx/YTD,UNLIMITED,,DI,1000
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P054,HSA FAMILY (NON-SEC 125),7100,Tx/YTD,UNLIMITED,,DI,1000
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P055,7701J ROTH,0,Tx/YTD,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P056,COST OF ER-SPONSORED PLAN COVERAGE,0,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P057,SAME-SEX PARTNER DNTL INS (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P059,SAME-SEX PARTNER MED INS (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P060,VISION INSURANCE (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P061,SAME-SEX PARTNER VISION,UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P062,401K (SEC 125),0,,UNLIMITED,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P063,OREGONSAVES (UP TO AGE 50),0,,0,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P064,OREGONSAVES (AGE 50 AND OVER),0,,0,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P065,CALSAVERS (UP TO AGE 50),0,,0,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P066,CALSAVERS (AGE 50 AND OVER),0,,0,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P067,IL SEC CHOICE (UP TO AGE 50),0,,0,,DI,0
00130000 - GEORGIA,1,WITHHOLDING TAX,P,P068,IL SEC CHOICE (AGE 50 AND OVER),0,,0,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E002,PAY ADVANCES,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E003,ATHLETIC FACILITIES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E004,N.Q. PLAN AWARDS AND PRIZES,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E005,BACK PAY,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E006,BONUSES,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E007,BUSINESS EXPENSES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E009,GIFTS,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E010,COMMISSIONS,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E013,DISCOUNTS,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E014,DISMISSAL/SEVERANCE,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E015,EDUCATIONAL ASSISTANCE (SEC 127),5250,YTD,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E016,EMPLOYMENT AGENCY,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E017,QUALIFIED EQUIPMENT/TOOL/UNIFORM,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E018,BUSINESS USE OF COMPANY CAR,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E019,PERSONAL USE OF COMPANY CAR,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E020,NO ADDITIONAL COST SERVICES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E021,GOLDEN PARACHUTE,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E022,GROUP LEGAL SERVICES,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E023,GUARANTEED WAGE,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E024,JURY DUTY PAY,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E025,BELOW MARKET LOANS TO EMPLOYEES,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E026,MEALS AND LODGING,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E027,SUPPLEMENTAL MILITARY PAY,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E028,QUALIFIED MOVING EXPENSES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E029,NON CASH FRINGE,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E030,OUTPLACEMENT SERVICES,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E031,OVERTIME,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E032,QUALIFIED PARKING,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E033,PRE EMPLOYMENT REIMBURSEMENT,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E034,PROBATIONARY PAY,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E035,REGULAR WAGES,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E036,SCHOLARSHIPS,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E037,SICK/DISABILITY PAY,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E038,STANDBY/IDLE TIME,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E039,STOCK PURCHASE & INCENTIVE PLAN,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E040,SUPPER MONEY,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E041,SUPPLEMENTAL UNEMPLOYMENT,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E042,TAXES PAID BY EMPLOYER,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E043,TIPS,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E044,TRAVEL EXPENSE REIMBURSEMENT,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E045,TUITION REDUCTION (SEC 117),UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E046,UNION PAYMENT,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E047,VACATION PAY,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E048,GROUP TERM LIFE G.T. 50000,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E049,MINISTERS HOUSING ALLOWANCE,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E051,INCOME UNDER SECTION 409A,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E052,TRANSPORTATION CHV,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E060,3RD PARTY SICK PAY - IN HOUSE PLAN,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E065,3RD PARTY SICK PAY - OUTSIDE VENDOR,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E070,EMPLOYEE ADULT CHILD HLTH INSURANCE,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E071,EMPLOYER ADULT CHILD HLTH INSURANCE,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E072,ER PREMIUM SAME-SEX PARTNER MEDICAL,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E073,ER PREMIUM SAME-SEX PARTNER DENTAL,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E074,ADOPTION ASSIST-CHILD 1 (SEC 125),0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E075,ADOPTION ASSIST-CHILD 2 (SEC 125),0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E076,ADOPTION ASSIST-CHILD 3 (SEC 125),0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E077,SEVERANCE PAY - OTHER,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E078,ER PREMIUM SAME-SEX PARTNER VISION,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E079,TIPS ALTERNATE EMPLOYER RULE,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E080,TUITION REIMBURSEMENT (SEC 132),UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E081,QSEHRA SINGLE,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E082,QSEHRA FAMILY,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E083,GARNISHMENT ADJUSTMENT-INCREASE,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E084,YOUNG RESIDENT EE EXEMPT WAGES,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E085,QUALIFIED MOVING EXP-AF ACTIVE DUTY,UNLIMITED,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E087,MINIMUM WAGE MAKEUP,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E088,COVID-19 EMERGENCY PD SICK LEAVE-EE,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E089,COVID-19 EMERGENCY PD SICK LEAVE-DP,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,E,E090,COVID-19 EMERGENCY EXP F&M LEAVE-DP,0,,N/A,,,N/A
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P001,401K,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P002,403B,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P003,408K,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P004,457B STATE AND LOCAL GOVMNT,5000000,Tx/YTD,EE/ER agg,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P005,7701J,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P006,SECTION 125,UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P007,DENTAL INSURANCE (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P008,GROUP TERM LIFE (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P009,HEALTH INSURANCE (SEC 125),UNLIMITED,,UNLIMITED,,CP,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P010,DEPENDENT CARE FILING SEP (SEC 125),2500,YTD,UNLIMITED,,CP,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P011,DEPENDENT CARE MARRIED (SEC 125),5000,YTD,UNLIMITED,,CP,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P012,CASH OUT (SEC 125),0,,0,,CP,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P014,SIMPLE 401K,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P016,401K ROTH,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P017,403B ROTH,0,,UNLIMITED,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P018,QUALIFIED PARKING,0,,EE/ER agg,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P019,TRANSPORTATION CHV,0,,EE/ER agg,,DI,0
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P020,HSA SELF-ONLY (SEC 125),3550,Nontx/YTD,EE/ER agg,,CP,1000
00130000 - GEORGIA,10,EMPLOYER UNEMPLOYMENT TAX,P,P021,HSA FAMILY (SEC 125),7100,Nontx/YTD,EE/ER agg,,CP,1000
