authority,authorityID,taxType,taxTypeID,startDate
MICHIGAN,260000,STATE TAX LEVY,504,20140103
MICHIGAN,260000,STATE STUDENT LOAN,517,20100101
MICHIGAN,260000,STATE AGENCY NON-TAX DEBT LEVY,529,20130101
MICHIGAN,260000,TOTAL SUPPORT,600,20060103
MINNESOTA,270000,STATE TAX LEVY,504,20090724
MINNESOTA,270000,CREDITOR GARNISHMENT,507,20090725
MINNESOTA,270000,CRIMINAL RESTITUTION,508,20030101
MINNESOTA,270000,VOL WAGE ASSIGNMENT,515,20090724
MINNESOTA,270000,STATE STUDENT LOAN,517,20100101
MINNESOTA,270000,STATE BENEFIT LEVY,531,20160101
MINNESOTA,270000,TOTAL SUPPORT,600,20060102
MISSISSIPPI,280000,STATE TAX LEVY,504,20030102
MISSISSIPPI,280000,VOL WAGE ASSIGNMENT,515,20030101
MISSISSIPPI,280000,STATE STUDENT LOAN,517,20100101
MISSISSIPPI,280000,TOTAL SUPPORT,600,20060102
MISSOURI,290000,STATE TAX LEVY,504,20030101
MISSOURI,290000,CREDITOR GARNISHMENT,507,20150115
MISSOURI,290000,CRIMINAL RESTITUTION,508,20030101
MISSOURI,290000,VOL WAGE ASSIGNMENT,515,20090724
MISSOURI,290000,STATE STUDENT LOAN,517,20100101
MISSOURI,290000,CREDITOR GARNISHMENT EMPLOYER FEE,521,20140101
MISSOURI,290000,TOTAL SUPPORT,600,20060103
MONTANA,300000,STATE TAX LEVY,504,20090724
MONTANA,300000,CRIMINAL RESTITUTION,508,20030101
MONTANA,300000,VOL WAGE ASSIGNMENT,515,20030101
MONTANA,300000,STATE STUDENT LOAN,517,20100101
MONTANA,300000,TOTAL SUPPORT,600,20030102
NEBRASKA,310000,STATE TAX LEVY,504,20090103
NEBRASKA,310000,CREDITOR GARNISHMENT,507,20090725
NEBRASKA,310000,VOL WAGE ASSIGNMENT,515,20090724
NEBRASKA,310000,STATE STUDENT LOAN,517,20100101
NEBRASKA,310000,TOTAL SUPPORT,600,20060102
NEVADA,320000,CREDITOR GARNISHMENT,507,20171001
NEVADA,320000,STATE STUDENT LOAN,517,20100101
NEVADA,320000,TOTAL SUPPORT,600,20060103
NEW HAMPSHIRE,330000,CREDITOR GARNISHMENT,507,20090724
NEW HAMPSHIRE,330000,STATE STUDENT LOAN,517,20100101
NEW HAMPSHIRE,330000,STATE BENEFIT LEVY,531,20160102
NEW HAMPSHIRE,330000,TOTAL SUPPORT,600,20060102
NEW JERSEY,340000,STATE TAX LEVY,504,20150101
NEW JERSEY,340000,CREDITOR GARNISHMENT,507,20150101
NEW JERSEY,340000,STATE STUDENT LOAN,517,20100101
NEW JERSEY,340000,TOTAL SUPPORT,600,20060103
NEW MEXICO,350000,STATE TAX LEVY,504,20090724
NEW MEXICO,350000,CREDITOR GARNISHMENT,507,20090724
NEW MEXICO,350000,VOL WAGE ASSIGNMENT,515,20090724
NEW MEXICO,350000,STATE STUDENT LOAN,517,20100101
NEW MEXICO,350000,TOTAL SUPPORT,600,20060102
NEW YORK,360000,STATE TAX LEVY,504,20191231
NEW YORK,360000,CREDITOR GARNISHMENT,507,20191231
NEW YORK,360000,VOL WAGE ASSIGNMENT,515,20090724
NEW YORK,360000,STATE STUDENT LOAN,517,20100101
NEW YORK,360000,TOTAL SUPPORT,600,20060102
NORTH CAROLINA,370000,STATE TAX LEVY,504,20030101
NORTH CAROLINA,370000,CREDITOR GARNISHMENT,507,20140101
NORTH CAROLINA,370000,STATE STUDENT LOAN,517,20100101
NORTH CAROLINA,370000,STATE BENEFIT LEVY,531,20160101
NORTH CAROLINA,370000,MEDICAID DEBT,532,20140101
NORTH CAROLINA,370000,TOTAL SUPPORT,600,20030102
NORTH DAKOTA,380000,STATE TAX LEVY,504,20030102
NORTH DAKOTA,380000,CREDITOR GARNISHMENT,507,20090726
NORTH DAKOTA,380000,STATE STUDENT LOAN,517,20100101
NORTH DAKOTA,380000,TOTAL SUPPORT,600,20060102
NORTHERN MARIANA ISLANDS,570000,CREDITOR GARNISHMENT,507,20090724
NORTHERN MARIANA ISLANDS,570000,STATE STUDENT LOAN,517,20100101
NORTHERN MARIANA ISLANDS,570000,TOTAL SUPPORT,600,20060104
OHIO,390000,STATE TAX LEVY,504,20090725
OHIO,390000,CREDITOR GARNISHMENT,507,20090725
OHIO,390000,VOL WAGE ASSIGNMENT,515,20030101
OHIO,390000,STATE STUDENT LOAN,517,20100101
OHIO,390000,SUPPORT EMPLOYER FEE,519,20030103
OHIO,390000,TOTAL SUPPORT,600,20060102
OKLAHOMA,400000,STATE TAX LEVY,504,20090724
OKLAHOMA,400000,STATE STUDENT LOAN,517,20100101
OKLAHOMA,400000,STATE BENEFIT LEVY,531,20160101
OKLAHOMA,400000,TOTAL SUPPORT,600,20060102
OREGON,410000,STATE TAX LEVY,504,20030101
OREGON,410000,CREDITOR GARNISHMENT,507,20200101
OREGON,410000,STATE STUDENT LOAN,517,20100101
OREGON,410000,CREDITOR GARNISHMENT EMPLOYER FEE,521,20200101
OREGON,410000,TOTAL SUPPORT,600,20030102
PENNSYLVANIA,420000,STATE TAX LEVY,504,20030102
PENNSYLVANIA,420000,CREDITOR GARNISHMENT,507,20200115
PENNSYLVANIA,420000,CRIMINAL RESTITUTION,508,20030101
PENNSYLVANIA,420000,VOL WAGE ASSIGNMENT,515,20030101
PENNSYLVANIA,420000,STATE STUDENT LOAN,517,20100101
PENNSYLVANIA,420000,TOTAL SUPPORT,600,20060102
PUERTO RICO,430000,CREDITOR GARNISHMENT,507,20090724
PUERTO RICO,430000,STATE STUDENT LOAN,517,20100101
PUERTO RICO,430000,TOTAL SUPPORT,600,20060101
RHODE ISLAND,440000,STATE TAX LEVY,504,20090103
RHODE ISLAND,440000,CREDITOR GARNISHMENT,507,20090724
RHODE ISLAND,440000,VOL WAGE ASSIGNMENT,515,20090724
RHODE ISLAND,440000,STATE STUDENT LOAN,517,20100101
RHODE ISLAND,440000,TOTAL SUPPORT,600,20060102
SOUTH CAROLINA,450000,STATE TAX LEVY,504,20030101
SOUTH CAROLINA,450000,CREDITOR GARNISHMENT,507,20030101
SOUTH CAROLINA,450000,CRIMINAL RESTITUTION,508,20030101
SOUTH CAROLINA,450000,VOL WAGE ASSIGNMENT,515,20030101
SOUTH CAROLINA,450000,STATE STUDENT LOAN,517,20100101
SOUTH CAROLINA,450000,TOTAL SUPPORT,600,20060102
SOUTH DAKOTA,460000,STATE TAX LEVY,504,20090724
SOUTH DAKOTA,460000,CREDITOR GARNISHMENT,507,20200101
SOUTH DAKOTA,460000,VOL WAGE ASSIGNMENT,515,20030101
SOUTH DAKOTA,460000,STATE STUDENT LOAN,517,20100101
SOUTH DAKOTA,460000,TOTAL SUPPORT,600,20030102
TENNESSEE,470000,CURRENT SUPPORT,502,20030103
TENNESSEE,470000,STATE TAX LEVY,504,20160101
TENNESSEE,470000,CREDITOR GARNISHMENT,507,20090726
TENNESSEE,470000,CRIMINAL RESTITUTION,508,20030101
TENNESSEE,470000,CURRENT SUPPORT ARREARS,510,20030103
TENNESSEE,470000,MEDICAL SUPPORT,511,20030103
TENNESSEE,470000,MEDICAL SUPPORT ARREARS,512,20190403
TENNESSEE,470000,VOL WAGE ASSIGNMENT,515,20090724
TENNESSEE,470000,STATE STUDENT LOAN,517,20100101
TENNESSEE,470000,SUPPORT EMPLOYER FEE,519,20030102
TENNESSEE,470000,TOTAL SUPPORT,600,20030102
TEXAS,480000,CREDITOR GARNISHMENT,507,20090724
TEXAS,480000,VOL WAGE ASSIGNMENT,515,20030101
TEXAS,480000,STATE STUDENT LOAN,517,20100101
TEXAS,480000,TOTAL SUPPORT,600,20030102
U.S. VIRGIN ISLANDS,520000,CREDITOR GARNISHMENT,507,20090724
U.S. VIRGIN ISLANDS,520000,STATE STUDENT LOAN,517,20100101
U.S. VIRGIN ISLANDS,520000,TOTAL SUPPORT,600,20060102
UTAH,490000,STATE TAX LEVY,504,20090724
UTAH,490000,CREDITOR GARNISHMENT,507,20090725
UTAH,490000,VOL WAGE ASSIGNMENT,515,20030101
UTAH,490000,STATE STUDENT LOAN,517,20140327
UTAH,490000,TOTAL SUPPORT,600,20060102
VERMONT,500000,STATE TAX LEVY,504,20090724
VERMONT,500000,CREDITOR GARNISHMENT,507,20090724
VERMONT,500000,VOL WAGE ASSIGNMENT,515,20030101
VERMONT,500000,STATE STUDENT LOAN,517,20100101
VERMONT,500000,TOTAL SUPPORT,600,20060102
VIRGINIA,510000,STATE TAX LEVY,504,20030102
VIRGINIA,510000,CREDITOR GARNISHMENT,507,20090725
VIRGINIA,510000,VOL WAGE ASSIGNMENT,515,20090724
VIRGINIA,510000,STATE STUDENT LOAN,517,20100101
VIRGINIA,510000,STATE AGENCY NON-TAX DEBT LEVY,529,20170101
VIRGINIA,510000,TOTAL SUPPORT,600,20060102
WASHINGTON,530000,STATE TAX LEVY,504,20140101
WASHINGTON,530000,CREDITOR GARNISHMENT,507,20200101
WASHINGTON,530000,VOL WAGE ASSIGNMENT,515,20090724
WASHINGTON,530000,STATE STUDENT LOAN,517,20120607
WASHINGTON,530000,STATE BENEFIT LEVY,531,20160101
WASHINGTON,530000,TOTAL SUPPORT,600,20030102
WEST VIRGINIA,540000,STATE TAX LEVY,504,20160101
WEST VIRGINIA,540000,CREDITOR GARNISHMENT,507,20160607
WEST VIRGINIA,540000,VOL WAGE ASSIGNMENT,515,20030101
WEST VIRGINIA,540000,STATE STUDENT LOAN,517,20100101
WEST VIRGINIA,540000,TOTAL SUPPORT,600,20030102
WISCONSIN,550000,STATE TAX LEVY,504,20030101
WISCONSIN,550000,CREDITOR GARNISHMENT,507,20090724
WISCONSIN,550000,CRIMINAL RESTITUTION,508,20030101
WISCONSIN,550000,SPOUSAL SUPPORT,513,20030101
WISCONSIN,550000,VOL WAGE ASSIGNMENT,515,20090724
WISCONSIN,550000,STATE STUDENT LOAN,517,20100101
WISCONSIN,550000,STATE BENEFIT LEVY,531,20150101
WISCONSIN,550000,TOTAL SUPPORT,600,20060102
WYOMING,560000,STATE TAX LEVY,504,20090724
WYOMING,560000,STATE STUDENT LOAN,517,20100101
WYOMING,560000,TOTAL SUPPORT,600,20060102
