userCode,bSICode,taxTypeName,preferred
BSI506,506,ADMINISTRATIVE WAGE GARNISHMENT,
BSI507,507,CREDITOR GARNISHMENT,
BSI508,508,CRIMINAL RESTITUTION,
BSI509,509,COURT COSTS,
BSI510,510,CURRENT SUPPORT ARREARS,
BSI511,511,MEDICAL SUPPORT,
BSI512,512,MEDICAL SUPPORT ARREARS,
BSI513,513,SPOUSAL SUPPORT,
BSI514,514,SPOUSAL SUPPORT ARREARS,
BSI515,515,VOL WAGE ASSIGNMENT,
BSI516,516,OUT OF STATE SUPPORT,
BSI517,517,STATE STUDENT LOAN,
BSI518,518,STUDENT LOAN EMPLOYER FEE,
BSI519,519,SUPPORT EMPLOYER FEE,
BSI520,520,STATE LEVY EMPLOYER FEE,
BSI521,521,CREDITOR GARNISHMENT EMPLOYER FEE,
BSI522,522,CRIMINAL RESTITUTION EMPLOYER FEE,
BSI523,523,VOL WAGE ASSIGNMENT EMPLOYER FEE,
BSI524,524,ER PAID CREDITOR GARNISHMENT FEE,
BSI525,525,STATE BENEFIT LEVY ER FEE,
BSI526,526,ADMIN WAGE GARNISHMENT EMPLOYER FEE,
BSI527,527,NON-COURT ORDERED STUDENT LOAN,
BSI528,528,LUMP SUM SUPPORT,
BSI529,529,STATE AGENCY NON-TAX DEBT LEVY,
BSI531,531,STATE BENEFIT LEVY,
BSI532,532,MEDICAID DEBT,
BSI533,533,MEDICAID DEBT FEE,
BSI535,535,SUPPORT AGENCY FEE,
BSI545,545,MEDICAL SUPPORT AGENCY FEE,
BSI600,600,TOTAL SUPPORT,
BSI888,888,EE TAX-CALC DEPENDENCY-DO NOT USE,
BSI999,999,TAX CALC SPECIAL USE LIMITS,
