taxType,taxName,payee,recip,taxId,railRoad,garnTypeInd,garnCapLimit
62,EMPLOYEE RETIREMENT PLAN-MED.,EE,0,0,0,0,0
63,EMPLOYER RETIREMENT PLAN-S.S,ER,0,0,0,0,0
64,EMPLOYER RETIREMENT PLAN-MED.,ER,0,0,0,0,0
65,EMPLOYER SUPPLEMENTAL RAILROAD RTMT,ER,0,0,2,0,0
68,P.E.R.S. - S.S. - EMPLOYER PICK-UP,EE,0,0,0,0,0
69,P.E.R.S. - MED. - EMPLOYER PICK-UP,EE,0,0,0,0,0
70,PENSION PERIODIC WITHHOLDING,EE,0,1,0,0,0
71,PENSION N.P. ELIGIBLE ROLLOVER,EE,0,1,0,0,0
72,PENSION N.P. NONQUALIFYING,EE,0,1,0,0,0
73,PREMATURE DIST FROM QUALIFIED PLANS,EE,0,1,0,0,0
75,JOB DEVELOPMENT FEE,EE,0,0,0,0,0
76,CITY SERVICE FEE,EE,0,0,0,0,0
77,EMPLOYER VOLUNTARY DISABILITY TAX,ER,0,0,0,0,0
78,UNEMPLOYMENT SURCHARGE TAX,ER,0,0,0,0,0
79,WAGE AND SALARY TAX,EE,1,0,0,0,0
80,EMPLOYER WAGE SECURITY FUND TAX,ER,0,0,0,0,0
81,DISABILITY INSURANCE VP ASMENT TAX,ER,0,0,0,0,0
82,UNEMPLOYMENT SOLVENCY TAX SURCHARGE,ER,0,0,0,0,0
84,LOCAL SERVICES TAX,EE,1,0,0,0,0
85,COMPETITIVENESS SKILLS SCHLR FUND,ER,0,0,0,0,0
86,EE JOB DEVMT ASSESSMT TX,EE,1,0,0,0,0
87,EMPLOYEE FAMILY LEAVE INSURANCE TAX,EE,0,0,0,0,0
88,EMPLOYEE FAMILY LEAVE INS-VOL TAX,EE,0,0,0,0,0
89,UI INTEREST ASSESSMENT FEE,ER,0,0,0,0,0
90,EMPLOYER STAY AT WORK PROGRAM TAX,ER,0,0,0,0,0
91,EMPLOYEE STAY AT WORK PROGRAM TAX,EE,0,0,0,0,0
92,ER MEDICAL ASST CONTRIBUTION TAX,ER,0,0,0,0,0
93,NON-RESIDENT ALIEN ADDITIONAL TAX,EE,1,0,0,0,0
94,TECHNOLOGY FUND TAX,ER,0,0,0,0,0
95,EMPLOYER ADMINISTRATIVE FEE,ER,0,0,0,0,0
96,STATEWIDE TRANSIT TAX,EE,1,0,0,0,0
98,EMPLOYER FAMILY LEAVE INSURANCE TAX,ER,0,0,0,0,0
99,EMPLOYEE MEDICAL LEAVE INSUR TAX,EE,0,0,0,0,0
100,EMPLOYER MEDICAL LEAVE INSUR TAX,ER,0,0,0,0,0
101,EMPLOYER FAMILY LEAVE INS-VOL TAX,ER,0,0,0,0,0
102,EMPLOYEE MEDICAL LEAVE INS-VOL TAX,EE,0,0,0,0,0
103,EMPLOYER MEDICAL LEAVE INS-VOL TAX,ER,0,0,0,0,0
104,EMPLOYEE TIF TAX,EE,1,0,0,0,0
105,EMPLOYER PAID CITY SERVICE FEE,ER,0,0,0,0,0
200,ER INDIVIDUAL PSL CREDIT,ER,0,0,0,0,0
201,ER FAMILY  PSL CREDIT,ER,0,0,0,0,0
202,ER EXTENDED PFML  CREDIT,ER,0,0,0,0,0
203,ER MEDICARE LEAVE CREDIT,ER,0,0,0,0,0
204,ER EMPLOYEE RETENTION CREDIT,ER,0,0,0,0,0
205,ER SOCIAL SECURITY LEAVE CREDIT,ER,0,0,0,0,0
206,ER SOCIAL SECURITY TAX PMT DEFERRAL,ER,0,0,0,0,0
501,BANKRUPTCY,EE,0,0,0,1,1
502,CURRENT SUPPORT,EE,0,0,0,3,1
503,FEDERAL TAX LEVY,EE,0,0,0,2,1
504,STATE TAX LEVY,EE,0,0,0,4,1
505,STUDENT LOAN,EE,0,0,0,5,1
506,ADMINISTRATIVE WAGE GARNISHMENT,EE,0,0,0,5,0
507,CREDITOR GARNISHMENT,NA,0,0,0,5,1
508,CRIMINAL RESTITUTION,EE,0,0,0,5,1
509,COURT COSTS,EE,0,0,0,7,1
510,CURRENT SUPPORT ARREARS,EE,0,0,0,3,1
511,MEDICAL SUPPORT,EE,0,0,0,3,1
512,MEDICAL SUPPORT ARREARS,EE,0,0,0,3,1
513,SPOUSAL SUPPORT,EE,0,0,0,3,1
514,SPOUSAL SUPPORT ARREARS,EE,0,0,0,3,1
515,VOL WAGE ASSIGNMENT,EE,0,0,0,6,1
516,OUT OF STATE SUPPORT,EE,0,0,0,3,1
517,STATE STUDENT LOAN,EE,0,0,0,5,0
518,STUDENT LOAN EMPLOYER FEE,EE,0,0,0,7,0
519,SUPPORT EMPLOYER FEE,EE,0,0,0,9,1
520,STATE LEVY EMPLOYER FEE,EE,0,0,0,7,0
521,CREDITOR GARNISHMENT EMPLOYER FEE,EE,0,0,0,7,0
522,CRIMINAL RESTITUTION EMPLOYER FEE,EE,0,0,0,7,0
523,VOL WAGE ASSIGNMENT EMPLOYER FEE,EE,0,0,0,7,0
524,ER PAID CREDITOR GARNISHMENT FEE,NA,0,0,0,7,0
525,STATE BENEFIT LEVY ER FEE,EE,0,0,0,7,0
526,ADMIN WAGE GARNISHMENT EMPLOYER FEE,EE,0,0,0,7,0
527,NON-COURT ORDERED STUDENT LOAN,EE,0,0,0,5,1
528,LUMP SUM SUPPORT,EE,0,0,0,10,1
529,STATE AGENCY NON-TAX DEBT LEVY,EE,0,0,0,5,0
531,STATE BENEFIT LEVY,EE,0,0,0,4,0
532,MEDICAID DEBT,EE,0,0,0,5,1
533,MEDICAID DEBT FEE,EE,0,0,0,7,0
535,SUPPORT AGENCY FEE,EE,0,0,0,9,1
545,MEDICAL SUPPORT AGENCY FEE,EE,0,0,0,9,1
600,TOTAL SUPPORT,EE,0,0,0,8,1
888,EE TAX-CALC DEPENDENCY-DO NOT USE,EE,0,0,0,0,0
999,TAX CALC SPECIAL USE LIMITS,ER,0,0,0,0,0
