authority,taxType,formula,effectiveDate,minimumAge
391127,1,1,4/1/1981,18
391128,1,1,1/1/2020,18
391129,1,1,3/1/1985,18
391130,1,1,1/1/1987,18
391131,1,1,1/1/2015,18
391132,1,1,1/1/2004,18
391135,1,1,7/1/2016,18
391136,1,1,12/1/1978,16
391137,1,1,1/1/1995,18
391139,1,1,1/1/2005,16
391143,1,1,1/1/1997,18
391144,1,1,4/1/2005,18
391146,1,1,1/1/1991,18
391148,1,1,1/1/2013,16
391150,1,1,7/1/2007,18
391151,1,1,1/1/1989,17
391152,1,1,1/1/1985,18
391153,1,1,1/1/1998,18
391155,1,1,4/1/1969,18
391157,1,1,7/1/2019,18
391158,1,1,1/1/1995,18
391159,1,1,7/1/2006,18
391161,1,1,1/1/1988,18
391162,1,1,1/1/2016,18
391163,1,1,1/1/2008,18
391164,1,1,7/1/1968,18
391165,1,1,1/1/2002,18
391166,1,1,9/1/2012,15
391167,1,1,7/1/1968,16
391173,1,1,1/1/1997,18
391176,1,1,7/1/1991,18
391177,1,1,1/1/1971,18
391178,1,1,3/1/1992,16
391179,1,1,7/1/2010,18
391181,1,1,1/1/2004,18
391182,1,1,1/1/1986,18
391184,1,1,1/1/2006,16
391186,1,1,1/1/1979,18
391187,1,1,9/1/1971,18
391188,1,1,10/1/1984,18
391192,1,1,1/1/1969,18
391193,1,1,1/1/1971,18
391194,1,1,1/1/2018,16
391195,1,1,3/1/1971,18
391196,1,1,1/1/2007,18
391197,1,1,1/1/1999,18
391198,1,1,7/1/1985,18
391200,1,1,7/1/2018,18
391203,1,1,1/1/2016,18
391204,1,1,1/1/2005,18
391205,1,1,1/1/2016,18
391206,1,1,1/1/2005,18
391208,1,1,1/1/1988,18
391209,1,1,2/1/1970,18
391210,1,1,6/1/1987,18
391211,1,1,1/1/1982,16
391212,1,1,1/1/1990,16
391213,1,1,11/14/1987,18
391214,1,1,7/1/2005,18
391215,1,1,5/1/1990,18
391216,1,1,1/1/1992,16
391217,1,1,10/1/1971,18
391219,1,1,1/1/2014,18
391219,1,2,1/1/2014,18
391221,1,1,1/1/2007,18
391222,1,1,1/1/1989,18
391223,1,1,1/1/2002,18
391224,1,1,1/1/1993,18
391225,1,1,1/1/2018,18
391226,1,1,1/1/2016,18
391227,1,1,1/1/1981,18
391230,1,1,7/1/1981,18
391232,1,1,1/1/2016,18
391233,1,1,9/1/1966,18
391234,1,1,1/1/1981,18
391237,1,1,7/1/1997,18
391238,1,1,1/1/2020,18
391241,1,1,1/1/2016,18
391243,1,1,1/1/2013,18
391244,1,1,7/1/2006,18
391245,1,1,3/1/1994,18
391250,1,1,1/1/2015,18
391251,1,1,1/1/2019,18
391252,1,1,1/1/1979,18
391253,1,1,1/1/1984,18
391256,1,1,1/1/2016,18
391257,1,1,1/1/2014,18
391258,1,1,7/1/1988,18
391259,1,1,3/1/2007,18
391260,1,1,1/1/2001,18
391262,1,1,1/1/2019,18
391263,1,1,1/1/2013,16
391265,1,1,7/1/2010,18
391267,1,1,1/1/2017,18
391269,1,1,7/1/1968,18
391270,1,1,7/1/2010,18
391271,1,1,1/1/1982,18
391272,1,1,7/1/1971,18
391276,1,1,7/1/1971,18
391277,1,1,1/1/2004,16
391278,1,1,5/1/1987,18
391279,1,1,4/1/1987,18
391280,1,1,1/1/2011,18
391281,1,1,1/1/2016,18
391282,1,1,1/1/2007,18
391283,1,1,1/1/2019,18
391284,1,1,7/1/1988,18
391285,1,1,1/1/2008,16
391286,1,1,1/1/1977,18
391287,1,1,7/1/2010,18
391291,1,1,4/1/1975,18
391293,1,1,1/1/2017,18
391294,1,1,1/1/1990,16
391295,1,1,7/1/2019,18
391298,1,1,1/1/2012,18
391299,1,1,7/1/2014,16
391300,1,1,7/1/1968,18
391304,1,1,1/1/1970,18
391307,1,1,8/1/1980,18
391309,1,1,1/1/2018,18
391310,1,1,7/1/2009,18
391313,1,1,7/1/2003,18
391315,1,1,1/1/1996,18
391316,1,1,7/1/2015,16
391317,1,1,7/1/2014,18
391318,1,1,1/1/1998,17
391319,1,1,7/1/1973,16
391321,1,1,1/1/2011,18
391323,1,1,7/1/2005,16
391325,1,1,1/1/2002,18
391326,1,1,3/1/2001,18
391327,1,1,1/1/2002,18
391328,1,1,1/1/1987,18
391329,1,1,10/1/1976,18
391331,1,1,1/1/1982,18
391332,1,1,7/1/1971,16
391334,1,1,1/1/2015,18
391335,1,1,3/1/1991,18
391336,1,1,1/1/1983,18
391337,1,1,1/1/2009,18
391338,1,1,1/1/1973,18
391339,1,1,1/1/2007,18
391340,1,1,1/1/2005,18
391342,1,1,1/1/2005,18
391343,1,1,1/1/1999,18
391344,1,1,1/1/1981,16
391345,1,1,11/4/1971,16
391347,1,1,7/1/2010,18
391348,1,1,1/1/2015,18
391349,1,1,1/1/2015,18
391351,1,1,3/1/1982,18
391352,1,1,1/1/2010,18
391353,1,1,7/1/1982,18
391355,1,1,10/1/1970,18
391356,1,1,1/1/2018,18
391361,1,1,3/1/1983,18
391363,1,1,1/1/2007,18
391364,1,1,1/1/2005,18
391366,1,1,1/1/2014,18
391367,1,1,7/1/1968,18
391368,1,1,7/1/2014,18
391370,1,1,1/1/1988,18
391371,1,1,7/1/1997,16
391372,1,1,1/1/1977,18
391374,1,1,1/1/2015,18
391375,1,1,1/1/2008,18
391377,1,1,1/1/1981,18
391380,1,1,1/1/1993,18
391382,1,1,5/1/2016,16
391384,1,1,7/1/1998,18
391385,1,1,7/1/2017,18
391386,1,1,7/1/1992,18
391387,1,1,7/1/2013,18
391389,1,1,1/1/1989,16
391390,1,1,1/1/1978,18
391392,1,1,1/1/1987,18
391393,1,1,1/1/1986,18
391394,1,1,1/1/2015,18
391398,1,1,7/1/2004,17
391401,1,1,7/1/1985,16
391403,1,1,1/1/2016,18
391404,1,1,7/1/1980,18
391405,1,1,1/1/2015,18
391409,1,1,1/1/2017,18
391410,1,1,7/1/1980,18
391411,1,1,10/1/2012,18
391413,1,1,1/1/1995,18
391414,1,1,5/31/2009,18
391415,1,1,7/1/2014,16
391416,1,1,1/1/2014,18
391417,1,1,3/15/1986,18
391418,1,1,1/1/1971,18
391419,1,1,1/1/2020,16
391420,1,1,1/1/1993,18
391422,1,1,1/1/2002,18
391423,1,1,7/1/1989,18
391425,1,1,7/1/2005,18
391426,1,1,1/1/2018,18
391427,1,1,1/1/2006,18
391429,1,1,1/1/2012,18
391432,1,1,7/1/1988,16
391434,1,1,7/1/2017,18
391435,1,1,8/3/2011,18
391437,1,1,1/1/1990,18
391437,1,2,1/1/1990,18
391439,1,1,5/28/2009,18
391440,1,1,7/1/1993,18
391443,1,1,1/1/1981,18
391444,1,1,1/1/2016,18
391445,1,1,7/1/1981,18
391446,1,1,1/1/2018,18
391449,1,1,1/1/2020,18
391450,1,1,1/1/2019,18
391451,1,1,10/1/1968,18
391452,1,1,7/1/2011,16
391455,1,1,1/1/2006,18
391456,1,1,7/1/1989,18
391457,1,1,7/1/1993,18
391458,1,1,1/1/1993,16
391459,1,1,12/1/1973,18
391460,1,1,1/1/2014,18
391461,1,1,7/1/2017,18
391463,1,1,1/1/2007,18
391464,1,1,1/1/2015,18
391465,1,1,4/1/1969,18
391467,1,1,1/1/1985,18
391468,1,1,1/1/2002,18
391470,1,1,1/1/1989,18
391472,1,1,1/1/2006,18
391473,1,1,6/1/2013,18
391474,1,1,1/1/1995,16
391475,1,1,1/1/2012,18
391477,1,1,7/1/2013,18
391479,1,1,1/1/2017,16
391480,1,1,7/1/2009,18
391481,1,1,1/1/2016,18
391483,1,1,1/1/1987,18
391485,1,1,1/1/2019,18
391486,1,1,1/1/2018,18
391487,1,1,1/1/1986,16
391489,1,1,1/1/1973,18
391490,1,1,1/1/2012,18
391493,1,1,1/1/2009,18
391494,1,1,1/1/1991,18
391495,1,1,1/1/1996,18
391496,1,1,1/1/1970,17
391497,1,1,1/1/2011,18
391499,1,1,1/1/1987,18
391500,1,1,7/1/2013,18
391502,1,1,7/1/1986,18
391503,1,1,1/1/2011,18
391504,1,1,9/1/1985,18
391509,1,1,1/1/2010,18
391510,1,1,10/1/1975,16
391511,1,1,1/1/2014,18
391512,1,1,7/1/2010,18
391514,1,1,1/1/2011,16
391515,1,1,1/1/1984,16
391517,1,1,1/1/2007,16
391523,1,1,2/4/2008,18
391524,1,1,1/1/2016,18
391526,1,1,1/1/2016,18
391529,1,1,1/1/1993,18
391531,1,1,7/1/2016,18
391533,1,1,1/1/2016,18
391534,1,1,6/1/2014,18
391536,47,1,1/1/2018,17
391537,47,1,1/1/2018,17
391538,47,1,1/1/2018,17
391539,1,1,1/1/2004,18
391541,47,1,1/1/1997,18
391546,1,1,7/1/1995,18
391547,1,1,5/1/2004,18
391551,47,1,1/1/2019,18
391552,1,1,1/1/2005,18
391553,1,1,11/25/1996,18
391555,1,1,7/1/2009,16
391557,1,1,1/1/2016,18
391558,1,1,1/1/2008,18
391563,47,1,1/1/2018,17
391565,1,1,1/1/1998,18
391568,1,1,7/1/1990,18
391573,1,1,1/1/2008,18
391574,1,1,7/1/2017,18
391575,1,1,1/1/2016,18
391579,1,1,1/1/2016,18
391580,47,1,1/1/2000,18
391581,47,1,1/1/2011,18
391582,47,1,1/1/2011,18
391583,1,1,4/1/1975,18
391585,1,1,1/1/1998,18
391586,1,1,1/1/1998,18
391589,1,1,6/1/2013,18
391590,1,1,12/1/2005,18
391591,1,1,7/1/2017,18
391600,1,1,1/1/2002,18
391602,1,1,1/1/2016,18
391603,47,1,1/1/2003,18
391604,1,1,1/1/2003,18
391605,1,1,7/1/2018,18
391606,1,1,1/1/2004,18
391607,1,1,10/1/2002,18
391608,1,1,6/1/2002,18
391609,47,1,1/1/2019,18
391612,47,1,7/1/2016,18
391613,1,1,10/10/2002,18
391614,1,1,1/1/2004,18
391615,1,1,7/1/2004,18
391616,1,1,1/1/2008,16
391617,1,1,1/1/2016,18
391631,1,1,1/1/2015,18
391632,1,1,1/1/2016,18
391633,1,1,9/1/2005,18
391636,1,1,7/1/2017,18
391637,1,1,7/1/2016,18
391646,1,1,1/1/2006,18
391647,1,1,1/1/2016,18
391648,1,1,1/1/2016,18
391649,1,1,6/1/2005,18
391650,47,1,10/31/1995,18
391651,1,1,7/1/2018,18
391652,1,1,1/1/1986,18
391653,1,1,10/10/2002,18
391655,1,1,7/1/2006,18
391658,1,1,1/1/2016,18
391659,1,1,10/1/2009,18
391691,1,1,10/1/2009,18
391692,1,1,1/1/1998,18
391694,1,1,3/1/1994,18
391695,1,1,7/1/2010,18
391696,1,1,7/1/2019,18
391699,1,1,1/1/1996,18
391816,1,1,1/1/2016,18
391817,1,1,7/1/2007,16
391817,1,2,7/1/2007,16
391819,1,1,1/1/2007,18
391826,1,1,1/1/2008,18
391827,47,1,1/1/2014,18
391834,1,1,8/1/2008,18
391835,47,1,1/1/1999,18
391840,1,1,1/1/2009,18
391841,1,1,1/1/2013,17
391843,1,1,1/1/2010,18
391858,1,1,1/1/2010,18
391859,1,1,1/1/2010,18
391860,1,1,1/1/2010,18
391861,1,1,7/1/2009,18
391865,1,1,1/1/2016,18
391866,1,1,7/1/2010,18
391872,1,1,1/1/2008,18
391873,1,1,7/1/2009,16
391874,47,1,1/1/2006,18
391875,47,1,1/1/2007,18
391876,1,1,1/1/2011,18
391877,1,1,1/1/2011,18
391879,47,1,1/1/2002,18
391880,47,1,1/1/2002,18
391881,47,1,1/1/2012,16
391882,47,1,1/1/2003,18
391883,47,1,7/1/2009,18
391887,47,1,1/1/2011,18
391890,47,1,10/1/2009,18
391891,47,1,1/1/2003,18
391892,47,1,7/1/2014,18
391893,1,1,1/1/2010,18
391895,47,1,1/1/2011,18
391896,1,1,7/1/2011,18
391897,1,1,4/1/2011,18
391898,47,1,7/1/2017,18
391902,1,1,1/1/2018,17
391903,1,1,1/1/2012,18
391904,1,1,1/1/2012,18
391905,1,1,1/1/2012,18
391906,1,1,1/1/2012,18
391907,1,1,1/1/2012,18
391909,47,1,7/1/2016,18
391910,47,1,1/1/2015,18
391912,1,1,7/1/2010,18
391913,1,1,1/1/1995,18
391915,1,1,1/1/2015,18
391920,1,1,1/1/2013,18
391925,47,1,2/1/2013,18
391927,47,1,1/1/2012,18
391928,47,1,1/1/2011,18
391929,47,1,5/1/2011,16
391930,47,1,1/1/2005,18
391932,1,1,1/1/2016,18
391933,1,1,1/1/2016,18
391934,1,1,7/1/2013,16
391935,1,1,6/1/2013,18
391937,47,1,10/1/2013,18
391938,47,1,10/1/2013,18
391939,47,1,10/1/2013,18
391940,47,1,1/1/2007,16
391941,47,1,1/1/2006,18
391942,47,1,1/1/2009,18
391944,47,1,1/1/1992,18
391946,1,1,10/1/2013,18
391947,1,1,10/1/2013,18
391950,47,1,10/1/2012,18
391951,47,1,1/1/2001,16
391953,1,1,1/1/2014,18
391954,47,1,1/1/2014,18
391963,1,1,1/1/2014,18
391964,1,1,1/1/2014,18
391965,47,1,1/1/2014,18
391966,47,1,1/1/2010,18
391967,1,1,1/1/2006,16
391968,47,1,4/1/2014,18
391970,1,1,4/1/2014,18
391971,1,1,1/1/2019,18
391973,47,1,7/1/2014,18
391974,1,1,7/1/2014,18
391977,1,1,1/1/2019,18
391978,1,1,1/1/2016,18
391979,47,1,1/1/2015,18
391984,1,1,1/1/2015,16
391991,1,1,1/1/2016,18
391992,1,1,9/1/2015,18
391993,1,1,1/1/1988,18
391994,1,1,1/1/1988,18
391998,1,1,1/1/2016,18
391999,47,1,3/1/2013,18
392005,1,1,7/1/2019,18
392006,1,1,1/1/2016,18
392008,1,1,1/1/2016,18
392009,1,1,1/1/2016,18
392010,47,1,10/1/2015,18
392011,47,1,7/1/2013,18
392016,47,1,1/1/2001,16
392017,47,1,1/1/2001,16
392019,47,1,9/1/2015,18
392020,47,1,1/1/2001,18
392022,47,1,10/1/2015,18
392024,47,1,1/1/2020,18
392033,1,1,1/1/2018,18
392039,47,1,1/1/2012,18
392040,47,1,6/18/2012,18
392042,47,1,1/1/2006,18
392043,47,1,7/1/2015,18
392044,47,1,7/1/2015,18
392058,47,1,6/1/2009,18
392060,1,1,1/1/2019,18
392061,1,1,1/1/2019,18
392072,1,1,1/1/2019,18
392073,1,1,1/1/2019,18
392095,47,1,11/21/2019,18
392096,47,1,3/7/2011,18
392097,47,1,12/5/2016,18
392098,47,1,4/12/2017,18
392099,47,1,3/12/2019,18
440000,41,1,1/1/2020,16
440000,41,2,1/1/2020,16
