authority,taxType,taxTypeName,payment,paymentName
0,503,FEDERAL TAX LEVY,D058,PRESCRIPTION DRUG
0,503,FEDERAL TAX LEVY,D059,PRESCRIPTION DRUG FOR DEPENDENTS
0,503,FEDERAL TAX LEVY,D060,MENTAL HEALTH COVERAGE
0,503,FEDERAL TAX LEVY,D061,MENTAL HLTH COVERAGE FOR DEPENDENT
0,503,FEDERAL TAX LEVY,D062,MANDATORY RETIREMENT CONTRIBUTION
0,503,FEDERAL TAX LEVY,D063,DRUG TESTING / MEDICAL EXAM
0,503,FEDERAL TAX LEVY,D065,NMSN - ALL HEALTH
0,503,FEDERAL TAX LEVY,D066,NMSN - MEDICAL
0,503,FEDERAL TAX LEVY,D067,NMSN - DENTAL
0,503,FEDERAL TAX LEVY,D068,NMSN - VISION
0,503,FEDERAL TAX LEVY,D069,NMSN - PRESCRIPTION DRUG
0,503,FEDERAL TAX LEVY,D070,NMSN - MENTAL HEALTH
0,503,FEDERAL TAX LEVY,D071,NMSN - OTHER
0,503,FEDERAL TAX LEVY,E002,PAY ADVANCES
0,503,FEDERAL TAX LEVY,E005,BACK PAY
0,503,FEDERAL TAX LEVY,E006,BONUSES
0,503,FEDERAL TAX LEVY,E010,COMMISSIONS
0,503,FEDERAL TAX LEVY,E014,DISMISSAL/SEVERANCE
0,503,FEDERAL TAX LEVY,E021,GOLDEN PARACHUTE
0,503,FEDERAL TAX LEVY,E023,GUARANTEED WAGE
0,503,FEDERAL TAX LEVY,E024,JURY DUTY PAY
0,503,FEDERAL TAX LEVY,E027,SUPPLEMENTAL MILITARY PAY
0,503,FEDERAL TAX LEVY,E031,OVERTIME
0,503,FEDERAL TAX LEVY,E034,PROBATIONARY PAY
0,503,FEDERAL TAX LEVY,E035,REGULAR WAGES
0,503,FEDERAL TAX LEVY,E037,SICK/DISABILITY PAY
0,503,FEDERAL TAX LEVY,E038,STANDBY/IDLE TIME
0,503,FEDERAL TAX LEVY,E041,SUPPLEMENTAL UNEMPLOYMENT
0,503,FEDERAL TAX LEVY,E043,TIPS
0,503,FEDERAL TAX LEVY,E047,VACATION PAY
0,503,FEDERAL TAX LEVY,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,503,FEDERAL TAX LEVY,E072,ER PREMIUM SAME-SEX PARTNER MEDICAL
0,503,FEDERAL TAX LEVY,E073,ER PREMIUM SAME-SEX PARTNER DENTAL
0,503,FEDERAL TAX LEVY,E079,TIPS ALTERNATE EMPLOYER RULE
0,503,FEDERAL TAX LEVY,E087,MINIMUM WAGE MAKEUP
0,503,FEDERAL TAX LEVY,P001,401K
0,503,FEDERAL TAX LEVY,P002,403B
0,503,FEDERAL TAX LEVY,P003,408K
0,503,FEDERAL TAX LEVY,P004,457B STATE AND LOCAL GOVMNT
0,503,FEDERAL TAX LEVY,P005,7701J
0,503,FEDERAL TAX LEVY,P006,SECTION 125
0,503,FEDERAL TAX LEVY,P007,DENTAL INSURANCE (SEC 125)
0,503,FEDERAL TAX LEVY,P008,GROUP TERM LIFE (SEC 125)
0,503,FEDERAL TAX LEVY,P009,HEALTH INSURANCE (SEC 125)
0,503,FEDERAL TAX LEVY,P010,DEPENDENT CARE FILING SEP (SEC 125)
0,503,FEDERAL TAX LEVY,P011,DEPENDENT CARE MARRIED (SEC 125)
0,503,FEDERAL TAX LEVY,P012,CASH OUT (SEC 125)
0,503,FEDERAL TAX LEVY,P014,SIMPLE 401K
0,503,FEDERAL TAX LEVY,P016,401K ROTH
0,503,FEDERAL TAX LEVY,P017,403B ROTH
0,503,FEDERAL TAX LEVY,P018,QUALIFIED PARKING
0,503,FEDERAL TAX LEVY,P019,TRANSPORTATION CHV
0,503,FEDERAL TAX LEVY,P020,HSA SELF-ONLY (SEC 125)
0,503,FEDERAL TAX LEVY,P021,HSA FAMILY (SEC 125)
0,503,FEDERAL TAX LEVY,P022,457B TAX EXEMPT ENTITY
0,503,FEDERAL TAX LEVY,P023,COMMUTER BENEFITS/SALARY REDUCTION
0,503,FEDERAL TAX LEVY,P024,FSA HEALTH
0,503,FEDERAL TAX LEVY,P025,457F N.Q. DEFERRED COMPENSATION
0,503,FEDERAL TAX LEVY,P026,ROTH 457B
0,503,FEDERAL TAX LEVY,P029,409A N.Q. DEFERRED COMPENSATION
0,503,FEDERAL TAX LEVY,P031,SIMPLE IRA 408P
0,503,FEDERAL TAX LEVY,P053,HSA SINGLE (NON-SEC 125)
0,503,FEDERAL TAX LEVY,P054,HSA FAMILY (NON-SEC 125)
0,503,FEDERAL TAX LEVY,P055,7701J ROTH
0,503,FEDERAL TAX LEVY,P056,COST OF ER-SPONSORED PLAN COVERAGE
0,503,FEDERAL TAX LEVY,P057,SAME-SEX PARTNER DNTL INS (SEC 125)
0,503,FEDERAL TAX LEVY,P059,SAME-SEX PARTNER MED INS (SEC 125)
0,503,FEDERAL TAX LEVY,P060,VISION INSURANCE (SEC 125)
0,503,FEDERAL TAX LEVY,P061,SAME-SEX PARTNER VISION
0,503,FEDERAL TAX LEVY,P062,401K (SEC 125)
0,505,STUDENT LOAN,C001,TIP CREDIT
0,505,STUDENT LOAN,D062,MANDATORY RETIREMENT CONTRIBUTION
0,505,STUDENT LOAN,E002,PAY ADVANCES
0,505,STUDENT LOAN,E005,BACK PAY
0,505,STUDENT LOAN,E006,BONUSES
0,505,STUDENT LOAN,E010,COMMISSIONS
0,505,STUDENT LOAN,E014,DISMISSAL/SEVERANCE
0,505,STUDENT LOAN,E021,GOLDEN PARACHUTE
0,505,STUDENT LOAN,E023,GUARANTEED WAGE
0,505,STUDENT LOAN,E024,JURY DUTY PAY
0,505,STUDENT LOAN,E027,SUPPLEMENTAL MILITARY PAY
0,505,STUDENT LOAN,E031,OVERTIME
0,505,STUDENT LOAN,E034,PROBATIONARY PAY
0,505,STUDENT LOAN,E035,REGULAR WAGES
0,505,STUDENT LOAN,E037,SICK/DISABILITY PAY
0,505,STUDENT LOAN,E038,STANDBY/IDLE TIME
0,505,STUDENT LOAN,E041,SUPPLEMENTAL UNEMPLOYMENT
0,505,STUDENT LOAN,E043,TIPS
0,505,STUDENT LOAN,E047,VACATION PAY
0,505,STUDENT LOAN,E060,3RD PARTY SICK PAY - IN HOUSE PLAN
0,505,STUDENT LOAN,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,505,STUDENT LOAN,E087,MINIMUM WAGE MAKEUP
0,506,ADMINISTRATIVE WAGE GARNISHMENT,C001,TIP CREDIT
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D002,HEALTH INSURANCE
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D005,HEALTH FOR DEPENDENT CHILD
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D008,DENTAL INSURANCE
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D056,VISION COVERAGE
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D057,VISION COVERAGE FOR DEPENDENTS
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D058,PRESCRIPTION DRUG
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D059,PRESCRIPTION DRUG FOR DEPENDENTS
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D060,MENTAL HEALTH COVERAGE
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D061,MENTAL HLTH COVERAGE FOR DEPENDENT
0,506,ADMINISTRATIVE WAGE GARNISHMENT,D062,MANDATORY RETIREMENT CONTRIBUTION
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E002,PAY ADVANCES
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E005,BACK PAY
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E006,BONUSES
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E010,COMMISSIONS
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E014,DISMISSAL/SEVERANCE
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E021,GOLDEN PARACHUTE
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E023,GUARANTEED WAGE
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E024,JURY DUTY PAY
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E027,SUPPLEMENTAL MILITARY PAY
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E031,OVERTIME
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E034,PROBATIONARY PAY
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E035,REGULAR WAGES
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E037,SICK/DISABILITY PAY
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E038,STANDBY/IDLE TIME
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E041,SUPPLEMENTAL UNEMPLOYMENT
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E047,VACATION PAY
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E060,3RD PARTY SICK PAY - IN HOUSE PLAN
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,506,ADMINISTRATIVE WAGE GARNISHMENT,E087,MINIMUM WAGE MAKEUP
0,506,ADMINISTRATIVE WAGE GARNISHMENT,P007,DENTAL INSURANCE (SEC 125)
0,506,ADMINISTRATIVE WAGE GARNISHMENT,P009,HEALTH INSURANCE (SEC 125)
0,506,ADMINISTRATIVE WAGE GARNISHMENT,P057,SAME-SEX PARTNER DNTL INS (SEC 125)
0,506,ADMINISTRATIVE WAGE GARNISHMENT,P059,SAME-SEX PARTNER MED INS (SEC 125)
0,506,ADMINISTRATIVE WAGE GARNISHMENT,P060,VISION INSURANCE (SEC 125)
0,506,ADMINISTRATIVE WAGE GARNISHMENT,P061,SAME-SEX PARTNER VISION
0,507,CREDITOR GARNISHMENT,C001,TIP CREDIT
0,507,CREDITOR GARNISHMENT,D062,MANDATORY RETIREMENT CONTRIBUTION
0,507,CREDITOR GARNISHMENT,E002,PAY ADVANCES
0,507,CREDITOR GARNISHMENT,E005,BACK PAY
0,507,CREDITOR GARNISHMENT,E006,BONUSES
0,507,CREDITOR GARNISHMENT,E010,COMMISSIONS
0,507,CREDITOR GARNISHMENT,E014,DISMISSAL/SEVERANCE
0,507,CREDITOR GARNISHMENT,E021,GOLDEN PARACHUTE
0,507,CREDITOR GARNISHMENT,E023,GUARANTEED WAGE
0,507,CREDITOR GARNISHMENT,E024,JURY DUTY PAY
0,507,CREDITOR GARNISHMENT,E027,SUPPLEMENTAL MILITARY PAY
0,507,CREDITOR GARNISHMENT,E031,OVERTIME
0,507,CREDITOR GARNISHMENT,E034,PROBATIONARY PAY
0,507,CREDITOR GARNISHMENT,E035,REGULAR WAGES
0,507,CREDITOR GARNISHMENT,E037,SICK/DISABILITY PAY
0,507,CREDITOR GARNISHMENT,E038,STANDBY/IDLE TIME
0,507,CREDITOR GARNISHMENT,E041,SUPPLEMENTAL UNEMPLOYMENT
0,507,CREDITOR GARNISHMENT,E047,VACATION PAY
0,507,CREDITOR GARNISHMENT,E060,3RD PARTY SICK PAY - IN HOUSE PLAN
0,507,CREDITOR GARNISHMENT,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,507,CREDITOR GARNISHMENT,E087,MINIMUM WAGE MAKEUP
0,510,CURRENT SUPPORT ARREARS,C001,TIP CREDIT
0,510,CURRENT SUPPORT ARREARS,D062,MANDATORY RETIREMENT CONTRIBUTION
0,510,CURRENT SUPPORT ARREARS,E002,PAY ADVANCES
0,510,CURRENT SUPPORT ARREARS,E005,BACK PAY
0,510,CURRENT SUPPORT ARREARS,E006,BONUSES
0,510,CURRENT SUPPORT ARREARS,E010,COMMISSIONS
0,510,CURRENT SUPPORT ARREARS,E014,DISMISSAL/SEVERANCE
0,510,CURRENT SUPPORT ARREARS,E021,GOLDEN PARACHUTE
0,510,CURRENT SUPPORT ARREARS,E023,GUARANTEED WAGE
0,510,CURRENT SUPPORT ARREARS,E024,JURY DUTY PAY
0,510,CURRENT SUPPORT ARREARS,E027,SUPPLEMENTAL MILITARY PAY
0,510,CURRENT SUPPORT ARREARS,E031,OVERTIME
0,510,CURRENT SUPPORT ARREARS,E034,PROBATIONARY PAY
0,510,CURRENT SUPPORT ARREARS,E035,REGULAR WAGES
0,510,CURRENT SUPPORT ARREARS,E037,SICK/DISABILITY PAY
0,510,CURRENT SUPPORT ARREARS,E038,STANDBY/IDLE TIME
0,510,CURRENT SUPPORT ARREARS,E041,SUPPLEMENTAL UNEMPLOYMENT
0,510,CURRENT SUPPORT ARREARS,E047,VACATION PAY
0,510,CURRENT SUPPORT ARREARS,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,510,CURRENT SUPPORT ARREARS,E087,MINIMUM WAGE MAKEUP
0,511,MEDICAL SUPPORT,C001,TIP CREDIT
0,511,MEDICAL SUPPORT,D062,MANDATORY RETIREMENT CONTRIBUTION
0,511,MEDICAL SUPPORT,E002,PAY ADVANCES
0,511,MEDICAL SUPPORT,E005,BACK PAY
0,511,MEDICAL SUPPORT,E006,BONUSES
0,511,MEDICAL SUPPORT,E010,COMMISSIONS
0,511,MEDICAL SUPPORT,E014,DISMISSAL/SEVERANCE
0,511,MEDICAL SUPPORT,E021,GOLDEN PARACHUTE
0,511,MEDICAL SUPPORT,E023,GUARANTEED WAGE
0,511,MEDICAL SUPPORT,E024,JURY DUTY PAY
0,511,MEDICAL SUPPORT,E027,SUPPLEMENTAL MILITARY PAY
0,511,MEDICAL SUPPORT,E031,OVERTIME
0,511,MEDICAL SUPPORT,E034,PROBATIONARY PAY
0,511,MEDICAL SUPPORT,E035,REGULAR WAGES
0,511,MEDICAL SUPPORT,E037,SICK/DISABILITY PAY
0,511,MEDICAL SUPPORT,E038,STANDBY/IDLE TIME
0,511,MEDICAL SUPPORT,E041,SUPPLEMENTAL UNEMPLOYMENT
0,511,MEDICAL SUPPORT,E047,VACATION PAY
0,511,MEDICAL SUPPORT,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,511,MEDICAL SUPPORT,E087,MINIMUM WAGE MAKEUP
0,512,MEDICAL SUPPORT ARREARS,C001,TIP CREDIT
0,512,MEDICAL SUPPORT ARREARS,D062,MANDATORY RETIREMENT CONTRIBUTION
0,512,MEDICAL SUPPORT ARREARS,E002,PAY ADVANCES
0,512,MEDICAL SUPPORT ARREARS,E005,BACK PAY
0,512,MEDICAL SUPPORT ARREARS,E006,BONUSES
0,512,MEDICAL SUPPORT ARREARS,E010,COMMISSIONS
0,512,MEDICAL SUPPORT ARREARS,E014,DISMISSAL/SEVERANCE
0,512,MEDICAL SUPPORT ARREARS,E021,GOLDEN PARACHUTE
0,512,MEDICAL SUPPORT ARREARS,E023,GUARANTEED WAGE
0,512,MEDICAL SUPPORT ARREARS,E024,JURY DUTY PAY
0,512,MEDICAL SUPPORT ARREARS,E027,SUPPLEMENTAL MILITARY PAY
0,512,MEDICAL SUPPORT ARREARS,E031,OVERTIME
0,512,MEDICAL SUPPORT ARREARS,E034,PROBATIONARY PAY
0,512,MEDICAL SUPPORT ARREARS,E035,REGULAR WAGES
0,512,MEDICAL SUPPORT ARREARS,E037,SICK/DISABILITY PAY
0,512,MEDICAL SUPPORT ARREARS,E038,STANDBY/IDLE TIME
0,512,MEDICAL SUPPORT ARREARS,E041,SUPPLEMENTAL UNEMPLOYMENT
0,512,MEDICAL SUPPORT ARREARS,E047,VACATION PAY
0,512,MEDICAL SUPPORT ARREARS,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,512,MEDICAL SUPPORT ARREARS,E087,MINIMUM WAGE MAKEUP
0,513,SPOUSAL SUPPORT,C001,TIP CREDIT
0,513,SPOUSAL SUPPORT,D062,MANDATORY RETIREMENT CONTRIBUTION
0,513,SPOUSAL SUPPORT,E002,PAY ADVANCES
0,513,SPOUSAL SUPPORT,E005,BACK PAY
0,513,SPOUSAL SUPPORT,E006,BONUSES
0,513,SPOUSAL SUPPORT,E010,COMMISSIONS
0,513,SPOUSAL SUPPORT,E014,DISMISSAL/SEVERANCE
0,513,SPOUSAL SUPPORT,E021,GOLDEN PARACHUTE
0,513,SPOUSAL SUPPORT,E023,GUARANTEED WAGE
0,513,SPOUSAL SUPPORT,E024,JURY DUTY PAY
0,513,SPOUSAL SUPPORT,E027,SUPPLEMENTAL MILITARY PAY
0,513,SPOUSAL SUPPORT,E031,OVERTIME
0,513,SPOUSAL SUPPORT,E034,PROBATIONARY PAY
0,513,SPOUSAL SUPPORT,E035,REGULAR WAGES
0,513,SPOUSAL SUPPORT,E037,SICK/DISABILITY PAY
0,513,SPOUSAL SUPPORT,E038,STANDBY/IDLE TIME
0,513,SPOUSAL SUPPORT,E041,SUPPLEMENTAL UNEMPLOYMENT
0,513,SPOUSAL SUPPORT,E047,VACATION PAY
0,513,SPOUSAL SUPPORT,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,513,SPOUSAL SUPPORT,E087,MINIMUM WAGE MAKEUP
0,514,SPOUSAL SUPPORT ARREARS,C001,TIP CREDIT
0,514,SPOUSAL SUPPORT ARREARS,D062,MANDATORY RETIREMENT CONTRIBUTION
0,514,SPOUSAL SUPPORT ARREARS,E002,PAY ADVANCES
0,514,SPOUSAL SUPPORT ARREARS,E005,BACK PAY
0,514,SPOUSAL SUPPORT ARREARS,E006,BONUSES
0,514,SPOUSAL SUPPORT ARREARS,E010,COMMISSIONS
0,514,SPOUSAL SUPPORT ARREARS,E014,DISMISSAL/SEVERANCE
0,514,SPOUSAL SUPPORT ARREARS,E021,GOLDEN PARACHUTE
0,514,SPOUSAL SUPPORT ARREARS,E023,GUARANTEED WAGE
0,514,SPOUSAL SUPPORT ARREARS,E024,JURY DUTY PAY
0,514,SPOUSAL SUPPORT ARREARS,E027,SUPPLEMENTAL MILITARY PAY
0,514,SPOUSAL SUPPORT ARREARS,E031,OVERTIME
0,514,SPOUSAL SUPPORT ARREARS,E034,PROBATIONARY PAY
0,514,SPOUSAL SUPPORT ARREARS,E035,REGULAR WAGES
0,514,SPOUSAL SUPPORT ARREARS,E037,SICK/DISABILITY PAY
0,514,SPOUSAL SUPPORT ARREARS,E038,STANDBY/IDLE TIME
0,514,SPOUSAL SUPPORT ARREARS,E041,SUPPLEMENTAL UNEMPLOYMENT
0,514,SPOUSAL SUPPORT ARREARS,E047,VACATION PAY
0,514,SPOUSAL SUPPORT ARREARS,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,514,SPOUSAL SUPPORT ARREARS,E087,MINIMUM WAGE MAKEUP
0,516,OUT OF STATE SUPPORT,C001,TIP CREDIT
0,516,OUT OF STATE SUPPORT,D062,MANDATORY RETIREMENT CONTRIBUTION
0,516,OUT OF STATE SUPPORT,E002,PAY ADVANCES
0,516,OUT OF STATE SUPPORT,E005,BACK PAY
0,516,OUT OF STATE SUPPORT,E006,BONUSES
0,516,OUT OF STATE SUPPORT,E010,COMMISSIONS
0,516,OUT OF STATE SUPPORT,E014,DISMISSAL/SEVERANCE
0,516,OUT OF STATE SUPPORT,E021,GOLDEN PARACHUTE
0,516,OUT OF STATE SUPPORT,E023,GUARANTEED WAGE
0,516,OUT OF STATE SUPPORT,E024,JURY DUTY PAY
0,516,OUT OF STATE SUPPORT,E027,SUPPLEMENTAL MILITARY PAY
0,516,OUT OF STATE SUPPORT,E031,OVERTIME
0,516,OUT OF STATE SUPPORT,E034,PROBATIONARY PAY
0,516,OUT OF STATE SUPPORT,E035,REGULAR WAGES
0,516,OUT OF STATE SUPPORT,E037,SICK/DISABILITY PAY
0,516,OUT OF STATE SUPPORT,E038,STANDBY/IDLE TIME
0,516,OUT OF STATE SUPPORT,E041,SUPPLEMENTAL UNEMPLOYMENT
0,516,OUT OF STATE SUPPORT,E047,VACATION PAY
0,516,OUT OF STATE SUPPORT,E060,3RD PARTY SICK PAY - IN HOUSE PLAN
0,516,OUT OF STATE SUPPORT,E068,DIFFERENTIAL PAY-ACT DUTY MILITARY
0,516,OUT OF STATE SUPPORT,E087,MINIMUM WAGE MAKEUP
0,527,NON-COURT ORDERED STUDENT LOAN,C001,TIP CREDIT
0,527,NON-COURT ORDERED STUDENT LOAN,D002,HEALTH INSURANCE
0,527,NON-COURT ORDERED STUDENT LOAN,D005,HEALTH FOR DEPENDENT CHILD
0,527,NON-COURT ORDERED STUDENT LOAN,D008,DENTAL INSURANCE
0,527,NON-COURT ORDERED STUDENT LOAN,D056,VISION COVERAGE
0,527,NON-COURT ORDERED STUDENT LOAN,D057,VISION COVERAGE FOR DEPENDENTS
0,527,NON-COURT ORDERED STUDENT LOAN,D058,PRESCRIPTION DRUG
0,527,NON-COURT ORDERED STUDENT LOAN,D059,PRESCRIPTION DRUG FOR DEPENDENTS
0,527,NON-COURT ORDERED STUDENT LOAN,D060,MENTAL HEALTH COVERAGE
